FIPS,MajorOcc,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample,StateAB
56,Computer & Mathematical Occupations,3,25,0.049556809,123,2482,25,WY
56,Architecture & Engineering Occupations,3,49,0.080382014,404,5026,49,WY
56,"Life, Physical, & Social Science Occupations",3,37,0.090799324,376,4141,37,WY
56,Community & Social Services Occupations,3,63,0.082809917,501,6050,63,WY
56,Legal Occupations,3,29,0.082267542,238,2893,29,WY
56,"Education, Training, & Library Occupations",3,231,0.043465801,910,20936,231,WY
56,"Arts, Design, Entertainment, Sports, & Media Occupations",3,22,0.032562125,76,2334,22,WY
56,Healthcare Practitioners & Technical Occupations,3,145,0.107771885,1646,15273,145,WY
56,Healthcare Support Occupations,3,48,0.045801527,246,5371,48,WY
56,Protective Service Occupations,3,73,0.03560757,286,8032,73,WY
56,Food Preparation & Serving Related Occupations,3,135,0.067087346,1010,15055,135,WY
56,Building & Grounds Cleaning & Maintenance Occupations,3,116,0.073213104,885,12088,116,WY
56,Personal Care & Service Occupations,3,78,0.13253886,1279,9650,78,WY
56,Sales & Related Occupations,3,237,0.068505697,1870,27297,237,WY
56,Office & Administrative Support Occupations,3,335,0.0808,2626,32500,335,WY
56,"Farming, Fishing, & Forestry Occupations",3,28,0.011969112,31,2590,28,WY
56,Construction & Extraction Occupations,3,272,0.066758764,1933,28955,272,WY
56,"Installation, Maintenance, & Repair Occupations",3,127,0.093829474,1402,14942,127,WY
56,Production Occupations,3,124,0.081614971,942,11542,124,WY
56,Transportation & Material Moving Occupations,3,217,0.095889729,1927,20096,217,WY
56,Military Specific Occupations,3,13,0,0,1441,13,WY
