Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
,Office & Administrative Support Occupations,,Less than High School,5,7746,838419,7746
,Office & Administrative Support Occupations,,High School,5,56453,5701651,56453
,Office & Administrative Support Occupations,,Some College,5,86330,8769175,86330
,Office & Administrative Support Occupations,,Bachelors Degree or more,5,39851,3970818,39851
,"Farming, Fishing, & Forestry Occupations",,Less than High School,5,4173,473779,4173
,"Farming, Fishing, & Forestry Occupations",,High School,5,3125,298372,3125
,"Farming, Fishing, & Forestry Occupations",,Some College,5,1723,162025,1723
,"Farming, Fishing, & Forestry Occupations",,Bachelors Degree or more,5,628,55539,628
,Construction & Extraction Occupations,,Less than High School,5,13439,1720791,13439
,Construction & Extraction Occupations,,High School,5,28031,3081322,28031
,Construction & Extraction Occupations,,Some College,5,18891,1986226,18891
,Construction & Extraction Occupations,,Bachelors Degree or more,5,4270,437351,4270
,"Installation, Maintenance, & Repair Occupations",,Less than High School,5,4857,542587,4857
,"Installation, Maintenance, & Repair Occupations",,High School,5,18086,1853335,18086
,"Installation, Maintenance, & Repair Occupations",,Some College,5,19346,1975233,19346
,"Installation, Maintenance, & Repair Occupations",,Bachelors Degree or more,5,3412,357715,3412
,Production Occupations,,Less than High School,5,14015,1589737,14015
,Production Occupations,,High School,5,36635,3728580,36635
,Production Occupations,,Some College,5,25944,2688927,25944
,Production Occupations,,Bachelors Degree or more,5,6828,695431,6828
,Transportation & Material Moving Occupations,,Less than High School,5,13812,1560897,13812
,Transportation & Material Moving Occupations,,High School,5,37677,3976851,37677
,Transportation & Material Moving Occupations,,Some College,5,24728,2624342,24728
,Transportation & Material Moving Occupations,,Bachelors Degree or more,5,6917,729606,6917
,Military Specific Occupations,,Less than High School,5,50,5338,50
,Military Specific Occupations,,High School,5,1635,152125,1635
,Military Specific Occupations,,Some College,5,2559,247102,2559
,Military Specific Occupations,,Bachelors Degree or more,5,1365,130709,1365
,Management Occupations,0,,6,138847,13643930,138847
,Management Occupations,1,,6,7299,654411,7299
,Business & Financial Operations Occupations,0,,6,66527,6692223,66527
,Business & Financial Operations Occupations,1,,6,3174,294384,3174
,Computer & Mathematical Occupations,0,,6,36503,3740307,36503
,Computer & Mathematical Occupations,1,,6,1478,141745,1478
,Architecture & Engineering Occupations,0,,6,26216,2574457,26216
,Architecture & Engineering Occupations,1,,6,1116,100369,1116
,"Life, Physical, & Social Science Occupations",0,,6,12578,1196769,12578
,"Life, Physical, & Social Science Occupations",1,,6,530,47843,530
,Community & Social Services Occupations,0,,6,22750,2230271,22750
,Community & Social Services Occupations,1,,6,1694,151336,1694
,Legal Occupations,0,,6,16704,1613530,16704
,Legal Occupations,1,,6,805,71594,805
,"Education, Training, & Library Occupations",0,,6,88784,8419173,88784
,"Education, Training, & Library Occupations",1,,6,4300,384616,4300
,"Arts, Design, Entertainment, Sports, & Media Occupations",0,,6,25894,2642909,25894
,"Arts, Design, Entertainment, Sports, & Media Occupations",1,,6,1367,130321,1367
,Healthcare Practitioners & Technical Occupations,0,,6,78794,7799694,78794
,Healthcare Practitioners & Technical Occupations,1,,6,3554,336241,3554
,Healthcare Support Occupations,0,,6,31604,3520611,31604
,Healthcare Support Occupations,1,,6,2345,237687,2345
,Protective Service Occupations,0,,6,28719,3000206,28719
,Protective Service Occupations,1,,6,1944,187031,1944
,Food Preparation & Serving Related Occupations,0,,6,62409,7563035,62409
,Food Preparation & Serving Related Occupations,1,,6,4392,479162,4392
,Building & Grounds Cleaning & Maintenance Occupations,0,,6,45851,5257864,45851
,Building & Grounds Cleaning & Maintenance Occupations,1,,6,5282,514463,5282
,Personal Care & Service Occupations,0,,6,45545,4919512,45545
,Personal Care & Service Occupations,1,,6,3761,376504,3761
,Sales & Related Occupations,0,,6,133531,14518728,133531
,Sales & Related Occupations,1,,6,8580,832078,8580
,Office & Administrative Support Occupations,0,,6,178128,18114177,178128
,Office & Administrative Support Occupations,1,,6,12252,1165886,12252
,"Farming, Fishing, & Forestry Occupations",0,,6,8917,926715,8917
,"Farming, Fishing, & Forestry Occupations",1,,6,732,63000,732
,Construction & Extraction Occupations,0,,6,60481,6810223,60481
,Construction & Extraction Occupations,1,,6,4150,415467,4150
,"Installation, Maintenance, & Repair Occupations",0,,6,42429,4412298,42429
,"Installation, Maintenance, & Repair Occupations",1,,6,3272,316572,3272
,Production Occupations,0,,6,76484,8077709,76484
,Production Occupations,1,,6,6938,624966,6938
,Transportation & Material Moving Occupations,0,,6,76108,8229393,76108
,Transportation & Material Moving Occupations,1,,6,7026,662303,7026
,Military Specific Occupations,0,,6,5362,510920,5362
,Military Specific Occupations,1,,6,247,24354,247
,Management Occupations,0,Less than High School,7,3890,412160,3890
,Management Occupations,0,High School,7,19594,1950698,19594
,Management Occupations,0,Some College,7,36878,3660097,36878
,Management Occupations,0,Bachelors Degree or more,7,78485,7620975,78485
,Management Occupations,1,Less than High School,7,460,42766,460
,Management Occupations,1,High School,7,1571,136995,1571
,Management Occupations,1,Some College,7,2389,217302,2389
,Management Occupations,1,Bachelors Degree or more,7,2879,257348,2879
,Business & Financial Operations Occupations,0,Less than High School,7,620,64943,620
,Business & Financial Operations Occupations,0,High School,7,5683,582413,5683
,Business & Financial Operations Occupations,0,Some College,7,15808,1610379,15808
,Business & Financial Operations Occupations,0,Bachelors Degree or more,7,44416,4434488,44416
,Business & Financial Operations Occupations,1,Less than High School,7,68,5887,68
,Business & Financial Operations Occupations,1,High School,7,429,39990,429
,Business & Financial Operations Occupations,1,Some College,7,1066,103322,1066
,Business & Financial Operations Occupations,1,Bachelors Degree or more,7,1611,145185,1611
,Computer & Mathematical Occupations,0,Less than High School,7,210,23441,210
,Computer & Mathematical Occupations,0,High School,7,1935,213408,1935
,Computer & Mathematical Occupations,0,Some College,7,9666,992762,9666
,Computer & Mathematical Occupations,0,Bachelors Degree or more,7,24692,2510696,24692
,Computer & Mathematical Occupations,1,Less than High School,7,23,2433,23
,Computer & Mathematical Occupations,1,High School,7,111,10645,111
,Computer & Mathematical Occupations,1,Some College,7,580,58047,580
,Computer & Mathematical Occupations,1,Bachelors Degree or more,7,764,70620,764
,Architecture & Engineering Occupations,0,Less than High School,7,219,24860,219
,Architecture & Engineering Occupations,0,High School,7,1857,185014,1857
,Architecture & Engineering Occupations,0,Some College,7,6557,628527,6557
,Architecture & Engineering Occupations,0,Bachelors Degree or more,7,17583,1736056,17583
,Architecture & Engineering Occupations,1,Less than High School,7,20,2089,20
,Architecture & Engineering Occupations,1,High School,7,114,10121,114
,Architecture & Engineering Occupations,1,Some College,7,431,37442,431
,Architecture & Engineering Occupations,1,Bachelors Degree or more,7,551,50717,551
,"Life, Physical, & Social Science Occupations",0,Less than High School,7,96,9481,96
,"Life, Physical, & Social Science Occupations",0,High School,7,598,57513,598
,"Life, Physical, & Social Science Occupations",0,Some College,7,1621,155224,1621
,"Life, Physical, & Social Science Occupations",0,Bachelors Degree or more,7,10263,974551,10263
,"Life, Physical, & Social Science Occupations",1,Less than High School,7,12,2143,12
,"Life, Physical, & Social Science Occupations",1,High School,7,47,4537,47
,"Life, Physical, & Social Science Occupations",1,Some College,7,95,8019,95
,"Life, Physical, & Social Science Occupations",1,Bachelors Degree or more,7,376,33144,376
,Community & Social Services Occupations,0,Less than High School,7,317,34982,317
,Community & Social Services Occupations,0,High School,7,1569,155550,1569
,Community & Social Services Occupations,0,Some College,7,3895,407604,3895
,Community & Social Services Occupations,0,Bachelors Degree or more,7,16969,1632135,16969
,Community & Social Services Occupations,1,Less than High School,7,70,5343,70
,Community & Social Services Occupations,1,High School,7,186,16470,186
,Community & Social Services Occupations,1,Some College,7,410,38240,410
,Community & Social Services Occupations,1,Bachelors Degree or more,7,1028,91283,1028
,Legal Occupations,0,Less than High School,7,75,7355,75
,Legal Occupations,0,High School,7,786,80179,786
,Legal Occupations,0,Some College,7,2420,244489,2420
,Legal Occupations,0,Bachelors Degree or more,7,13423,1281507,13423
,Legal Occupations,1,Less than High School,7,10,1157,10
,Legal Occupations,1,High School,7,58,4756,58
,Legal Occupations,1,Some College,7,151,14145,151
,Legal Occupations,1,Bachelors Degree or more,7,586,51536,586
,"Education, Training, & Library Occupations",0,Less than High School,7,732,78463,732
,"Education, Training, & Library Occupations",0,High School,7,4948,495014,4948
,"Education, Training, & Library Occupations",0,Some College,7,13175,1294142,13175
,"Education, Training, & Library Occupations",0,Bachelors Degree or more,7,69929,6551554,69929
,"Education, Training, & Library Occupations",1,Less than High School,7,96,8104,96
,"Education, Training, & Library Occupations",1,High School,7,413,37169,413
,"Education, Training, & Library Occupations",1,Some College,7,870,81945,870
,"Education, Training, & Library Occupations",1,Bachelors Degree or more,7,2921,257398,2921
,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Less than High School,7,518,60413,518
,"Arts, Design, Entertainment, Sports, & Media Occupations",0,High School,7,2428,250734,2428
,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Some College,7,7313,754531,7313
,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Bachelors Degree or more,7,15635,1577231,15635
,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Less than High School,7,59,5911,59
,"Arts, Design, Entertainment, Sports, & Media Occupations",1,High School,7,224,20396,224
,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Some College,7,465,45755,465
,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Bachelors Degree or more,7,619,58259,619
,Healthcare Practitioners & Technical Occupations,0,Less than High School,7,477,51800,477
,Healthcare Practitioners & Technical Occupations,0,High School,7,4159,438611,4159
,Healthcare Practitioners & Technical Occupations,0,Some College,7,28205,2784811,28205
,Healthcare Practitioners & Technical Occupations,0,Bachelors Degree or more,7,45953,4524472,45953
,Healthcare Practitioners & Technical Occupations,1,Less than High School,7,63,5976,63
,Healthcare Practitioners & Technical Occupations,1,High School,7,312,29084,312
,Healthcare Practitioners & Technical Occupations,1,Some College,7,1558,150675,1558
,Healthcare Practitioners & Technical Occupations,1,Bachelors Degree or more,7,1621,150506,1621
,Healthcare Support Occupations,0,Less than High School,7,2410,272298,2410
,Healthcare Support Occupations,0,High School,7,9367,1045143,9367
,Healthcare Support Occupations,0,Some College,7,15925,1788324,15925
