Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
Health Care,Architecture & Engineering Occupations,,Some College,13,99,9188,99
Health Care,Architecture & Engineering Occupations,,Bachelors Degree or more,13,110,10677,110
Health Care,"Life, Physical, & Social Science Occupations",,Less than High School,13,2,170,2
Health Care,"Life, Physical, & Social Science Occupations",,High School,13,22,2357,22
Health Care,"Life, Physical, & Social Science Occupations",,Some College,13,116,11582,116
Health Care,"Life, Physical, & Social Science Occupations",,Bachelors Degree or more,13,2116,200369,2116
Health Care,Community & Social Services Occupations,,Less than High School,13,49,4993,49
Health Care,Community & Social Services Occupations,,High School,13,301,31363,301
Health Care,Community & Social Services Occupations,,Some College,13,790,90526,790
Health Care,Community & Social Services Occupations,,Bachelors Degree or more,13,3474,349519,3474
Health Care,Legal Occupations,,Less than High School,13,4,490,4
Health Care,Legal Occupations,,High School,13,13,1363,13
Health Care,Legal Occupations,,Some College,13,40,4820,40
Health Care,Legal Occupations,,Bachelors Degree or more,13,107,12277,107
Health Care,"Education, Training, & Library Occupations",,Less than High School,13,8,808,8
Health Care,"Education, Training, & Library Occupations",,High School,13,53,5580,53
Health Care,"Education, Training, & Library Occupations",,Some College,13,173,18415,173
Health Care,"Education, Training, & Library Occupations",,Bachelors Degree or more,13,385,40155,385
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",,Less than High School,13,6,474,6
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",,High School,13,29,3392,29
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",,Some College,13,100,11355,100
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",,Bachelors Degree or more,13,240,21982,240
Health Care,Healthcare Practitioners & Technical Occupations,,Less than High School,13,381,40324,381
Health Care,Healthcare Practitioners & Technical Occupations,,High School,13,3039,323158,3039
Health Care,Healthcare Practitioners & Technical Occupations,,Some College,13,24950,2442754,24950
Health Care,Healthcare Practitioners & Technical Occupations,,Bachelors Degree or more,13,38693,3829576,38693
Health Care,Healthcare Support Occupations,,Less than High School,13,2379,266084,2379
Health Care,Healthcare Support Occupations,,High School,13,8839,984120,8839
Health Care,Healthcare Support Occupations,,Some College,13,14632,1645110,14632
Health Care,Healthcare Support Occupations,,Bachelors Degree or more,13,3189,342075,3189
Health Care,Protective Service Occupations,,Less than High School,13,29,2804,29
Health Care,Protective Service Occupations,,High School,13,202,20889,202
Health Care,Protective Service Occupations,,Some College,13,295,32166,295
Health Care,Protective Service Occupations,,Bachelors Degree or more,13,98,12075,98
Health Care,Food Preparation & Serving Related Occupations,,Less than High School,13,555,61591,555
Health Care,Food Preparation & Serving Related Occupations,,High School,13,1409,151657,1409
Health Care,Food Preparation & Serving Related Occupations,,Some College,13,1094,126659,1094
Health Care,Food Preparation & Serving Related Occupations,,Bachelors Degree or more,13,171,16863,171
Health Care,Building & Grounds Cleaning & Maintenance Occupations,,Less than High School,13,1145,125069,1145
Health Care,Building & Grounds Cleaning & Maintenance Occupations,,High School,13,2158,220750,2158
Health Care,Building & Grounds Cleaning & Maintenance Occupations,,Some College,13,998,107778,998
Health Care,Building & Grounds Cleaning & Maintenance Occupations,,Bachelors Degree or more,13,184,18731,184
Health Care,Personal Care & Service Occupations,,Less than High School,13,833,88572,833
Health Care,Personal Care & Service Occupations,,High School,13,2191,240001,2191
Health Care,Personal Care & Service Occupations,,Some College,13,2563,287471,2563
Health Care,Personal Care & Service Occupations,,Bachelors Degree or more,13,979,102748,979
Health Care,Sales & Related Occupations,,Less than High School,13,16,1471,16
Health Care,Sales & Related Occupations,,High School,13,113,11620,113
Health Care,Sales & Related Occupations,,Some College,13,191,21746,191
Health Care,Sales & Related Occupations,,Bachelors Degree or more,13,269,26315,269
Health Care,Office & Administrative Support Occupations,,Less than High School,13,604,58871,604
Health Care,Office & Administrative Support Occupations,,High School,13,6715,679586,6715
Health Care,Office & Administrative Support Occupations,,Some College,13,12026,1229809,12026
Health Care,Office & Administrative Support Occupations,,Bachelors Degree or more,13,4097,415332,4097
Health Care,"Farming, Fishing, & Forestry Occupations",,Less than High School,13,2,100,2
Health Care,"Farming, Fishing, & Forestry Occupations",,Some College,13,5,246,5
Health Care,"Farming, Fishing, & Forestry Occupations",,Bachelors Degree or more,13,1,54,1
Health Care,Construction & Extraction Occupations,,Less than High School,13,28,2876,28
Health Care,Construction & Extraction Occupations,,High School,13,152,15148,152
Health Care,Construction & Extraction Occupations,,Some College,13,107,9160,107
Health Care,Construction & Extraction Occupations,,Bachelors Degree or more,13,29,3229,29
Health Care,"Installation, Maintenance, & Repair Occupations",,Less than High School,13,48,4196,48
Health Care,"Installation, Maintenance, & Repair Occupations",,High School,13,267,24552,267
Health Care,"Installation, Maintenance, & Repair Occupations",,Some College,13,378,37534,378
Health Care,"Installation, Maintenance, & Repair Occupations",,Bachelors Degree or more,13,116,11854,116
Health Care,Production Occupations,,Less than High School,13,142,14149,142
Health Care,Production Occupations,,High School,13,403,41371,403
Health Care,Production Occupations,,Some College,13,373,37557,373
Health Care,Production Occupations,,Bachelors Degree or more,13,144,14934,144
Health Care,Transportation & Material Moving Occupations,,Less than High School,13,78,7373,78
Health Care,Transportation & Material Moving Occupations,,High School,13,353,36532,353
Health Care,Transportation & Material Moving Occupations,,Some College,13,286,29921,286
Health Care,Transportation & Material Moving Occupations,,Bachelors Degree or more,13,112,11366,112
Social Assistance Services,Management Occupations,,Less than High School,13,37,3378,37
Social Assistance Services,Management Occupations,,High School,13,305,26897,305
Social Assistance Services,Management Occupations,,Some College,13,867,84919,867
Social Assistance Services,Management Occupations,,Bachelors Degree or more,13,1826,180511,1826
Social Assistance Services,Business & Financial Operations Occupations,,Less than High School,13,8,922,8
Social Assistance Services,Business & Financial Operations Occupations,,High School,13,62,5522,62
Social Assistance Services,Business & Financial Operations Occupations,,Some College,13,178,17523,178
Social Assistance Services,Business & Financial Operations Occupations,,Bachelors Degree or more,13,450,43665,450
Social Assistance Services,Computer & Mathematical Occupations,,High School,13,7,466,7
Social Assistance Services,Computer & Mathematical Occupations,,Some College,13,48,4872,48
Social Assistance Services,Computer & Mathematical Occupations,,Bachelors Degree or more,13,72,6359,72
Social Assistance Services,Architecture & Engineering Occupations,,High School,13,2,124,2
Social Assistance Services,Architecture & Engineering Occupations,,Bachelors Degree or more,13,3,503,3
Social Assistance Services,"Life, Physical, & Social Science Occupations",,High School,13,1,235,1
Social Assistance Services,"Life, Physical, & Social Science Occupations",,Some College,13,5,515,5
Social Assistance Services,"Life, Physical, & Social Science Occupations",,Bachelors Degree or more,13,141,15107,141
Social Assistance Services,Community & Social Services Occupations,,Less than High School,13,92,10074,92
Social Assistance Services,Community & Social Services Occupations,,High School,13,426,42709,426
Social Assistance Services,Community & Social Services Occupations,,Some College,13,970,103251,970
Social Assistance Services,Community & Social Services Occupations,,Bachelors Degree or more,13,3790,387632,3790
Social Assistance Services,Legal Occupations,,Less than High School,13,1,54,1
Social Assistance Services,Legal Occupations,,High School,13,17,2135,17
Social Assistance Services,Legal Occupations,,Some College,13,60,5678,60
Social Assistance Services,Legal Occupations,,Bachelors Degree or more,13,82,7842,82
Social Assistance Services,"Education, Training, & Library Occupations",,Less than High School,13,137,17688,137
Social Assistance Services,"Education, Training, & Library Occupations",,High School,13,897,100840,897
Social Assistance Services,"Education, Training, & Library Occupations",,Some College,13,2409,259176,2409
Social Assistance Services,"Education, Training, & Library Occupations",,Bachelors Degree or more,13,2004,197134,2004
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",,Less than High School,13,5,349,5
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",,High School,13,31,1350,31
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",,Some College,13,38,3814,38
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",,Bachelors Degree or more,13,98,9140,98
Social Assistance Services,Healthcare Practitioners & Technical Occupations,,Less than High School,13,4,313,4
Social Assistance Services,Healthcare Practitioners & Technical Occupations,,High School,13,29,3276,29
Social Assistance Services,Healthcare Practitioners & Technical Occupations,,Some College,13,179,15907,179
Social Assistance Services,Healthcare Practitioners & Technical Occupations,,Bachelors Degree or more,13,510,47955,510
Social Assistance Services,Healthcare Support Occupations,,Less than High School,13,180,20094,180
Social Assistance Services,Healthcare Support Occupations,,High School,13,324,33675,324
Social Assistance Services,Healthcare Support Occupations,,Some College,13,330,35172,330
Social Assistance Services,Healthcare Support Occupations,,Bachelors Degree or more,13,97,12321,97
Social Assistance Services,Protective Service Occupations,,Less than High School,13,6,1076,6
Social Assistance Services,Protective Service Occupations,,High School,13,33,3161,33
Social Assistance Services,Protective Service Occupations,,Some College,13,61,5751,61
Social Assistance Services,Protective Service Occupations,,Bachelors Degree or more,13,35,3729,35
Social Assistance Services,Food Preparation & Serving Related Occupations,,Less than High School,13,123,10698,123
Social Assistance Services,Food Preparation & Serving Related Occupations,,High School,13,267,23537,267
Social Assistance Services,Food Preparation & Serving Related Occupations,,Some College,13,180,17644,180
Social Assistance Services,Food Preparation & Serving Related Occupations,,Bachelors Degree or more,13,39,3580,39
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,,Less than High School,13,164,17663,164
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,,High School,13,259,23170,259
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,,Some College,13,124,10281,124
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,,Bachelors Degree or more,13,30,2977,30
Social Assistance Services,Personal Care & Service Occupations,,Less than High School,13,1464,162862,1464
Social Assistance Services,Personal Care & Service Occupations,,High School,13,3511,365669,3511
Social Assistance Services,Personal Care & Service Occupations,,Some College,13,4268,453375,4268
Social Assistance Services,Personal Care & Service Occupations,,Bachelors Degree or more,13,1612,170428,1612
Social Assistance Services,Sales & Related Occupations,,Less than High School,13,5,603,5
Social Assistance Services,Sales & Related Occupations,,High School,13,15,2165,15
Social Assistance Services,Sales & Related Occupations,,Some College,13,16,2303,16
Social Assistance Services,Sales & Related Occupations,,Bachelors Degree or more,13,26,3050,26
Social Assistance Services,Office & Administrative Support Occupations,,Less than High School,13,97,11283,97
Social Assistance Services,Office & Administrative Support Occupations,,High School,13,645,60858,645
Social Assistance Services,Office & Administrative Support Occupations,,Some College,13,1148,116052,1148
Social Assistance Services,Office & Administrative Support Occupations,,Bachelors Degree or more,13,595,60499,595
Social Assistance Services,"Farming, Fishing, & Forestry Occupations",,Less than High School,13,21,643,21
Social Assistance Services,"Farming, Fishing, & Forestry Occupations",,High School,13,6,166,6
Social Assistance Services,"Farming, Fishing, & Forestry Occupations",,Bachelors Degree or more,13,1,45,1
Social Assistance Services,Construction & Extraction Occupations,,Less than High School,13,4,369,4
Social Assistance Services,Construction & Extraction Occupations,,High School,13,14,1665,14
Social Assistance Services,Construction & Extraction Occupations,,Some College,13,11,862,11
Social Assistance Services,Construction & Extraction Occupations,,Bachelors Degree or more,13,6,438,6
Social Assistance Services,"Installation, Maintenance, & Repair Occupations",,Less than High School,13,5,763,5
Social Assistance Services,"Installation, Maintenance, & Repair Occupations",,High School,13,19,1955,19
Social Assistance Services,"Installation, Maintenance, & Repair Occupations",,Some College,13,16,1521,16
Social Assistance Services,"Installation, Maintenance, & Repair Occupations",,Bachelors Degree or more,13,5,399,5
Social Assistance Services,Production Occupations,,Less than High School,13,289,19115,289
Social Assistance Services,Production Occupations,,High School,13,397,30425,397
Social Assistance Services,Production Occupations,,Some College,13,71,4131,71
Social Assistance Services,Production Occupations,,Bachelors Degree or more,13,21,2623,21
Social Assistance Services,Transportation & Material Moving Occupations,,Less than High School,13,133,11108,133
Social Assistance Services,Transportation & Material Moving Occupations,,High School,13,352,30080,352
Social Assistance Services,Transportation & Material Moving Occupations,,Some College,13,177,16180,177
Social Assistance Services,Transportation & Material Moving Occupations,,Bachelors Degree or more,13,39,4124,39
"Arts, Entertainment, Recreation",Management Occupations,,Less than High School,13,44,5478,44
"Arts, Entertainment, Recreation",Management Occupations,,High School,13,261,29145,261
"Arts, Entertainment, Recreation",Management Occupations,,Some College,13,575,56779,575
"Arts, Entertainment, Recreation",Management Occupations,,Bachelors Degree or more,13,1108,110487,1108
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,,Less than High School,13,11,1002,11
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,,High School,13,76,7947,76
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,,Some College,13,198,22944,198
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,,Bachelors Degree or more,13,582,56465,582
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,,Less than High School,13,4,390,4
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,,High School,13,9,1334,9
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,,Some College,13,69,6372,69
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,,Bachelors Degree or more,13,105,11750,105
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,,Less than High School,13,2,157,2
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,,High School,13,9,1291,9
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,,Some College,13,26,2725,26
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,,Bachelors Degree or more,13,40,3807,40
"Arts, Entertainment, Recreation","Life, Physical, & Social Science Occupations",,High School,13,9,560,9
"Arts, Entertainment, Recreation","Life, Physical, & Social Science Occupations",,Some College,13,19,1765,19
"Arts, Entertainment, Recreation","Life, Physical, & Social Science Occupations",,Bachelors Degree or more,13,115,9992,115
"Arts, Entertainment, Recreation",Community & Social Services Occupations,,Less than High School,13,1,712,1
"Arts, Entertainment, Recreation",Community & Social Services Occupations,,High School,13,4,291,4
"Arts, Entertainment, Recreation",Community & Social Services Occupations,,Some College,13,18,2691,18
"Arts, Entertainment, Recreation",Community & Social Services Occupations,,Bachelors Degree or more,13,33,3104,33
"Arts, Entertainment, Recreation",Legal Occupations,,Some College,13,2,157,2
"Arts, Entertainment, Recreation",Legal Occupations,,Bachelors Degree or more,13,32,3479,32
"Arts, Entertainment, Recreation","Education, Training, & Library Occupations",,Less than High School,13,12,1060,12
"Arts, Entertainment, Recreation","Education, Training, & Library Occupations",,High School,13,72,7274,72
"Arts, Entertainment, Recreation","Education, Training, & Library Occupations",,Some College,13,173,16528,173
"Arts, Entertainment, Recreation","Education, Training, & Library Occupations",,Bachelors Degree or more,13,586,54071,586
"Arts, Entertainment, Recreation","Arts, Design, Entertainment, Sports, & Media Occupations",,Less than High School,13,212,22932,212
"Arts, Entertainment, Recreation","Arts, Design, Entertainment, Sports, & Media Occupations",,High School,13,674,74166,674
"Arts, Entertainment, Recreation","Arts, Design, Entertainment, Sports, & Media Occupations",,Some College,13,1577,166142,1577
"Arts, Entertainment, Recreation","Arts, Design, Entertainment, Sports, & Media Occupations",,Bachelors Degree or more,13,2807,292195,2807
"Arts, Entertainment, Recreation",Healthcare Practitioners & Technical Occupations,,Less than High School,13,2,86,2
"Arts, Entertainment, Recreation",Healthcare Practitioners & Technical Occupations,,High School,13,7,452,7
"Arts, Entertainment, Recreation",Healthcare Practitioners & Technical Occupations,,Some College,13,25,3119,25
"Arts, Entertainment, Recreation",Healthcare Practitioners & Technical Occupations,,Bachelors Degree or more,13,60,6117,60
"Arts, Entertainment, Recreation",Healthcare Support Occupations,,Less than High School,13,9,827,9
"Arts, Entertainment, Recreation",Healthcare Support Occupations,,High School,13,44,5806,44
"Arts, Entertainment, Recreation",Healthcare Support Occupations,,Some College,13,134,15862,134
"Arts, Entertainment, Recreation",Healthcare Support Occupations,,Bachelors Degree or more,13,45,4779,45
"Arts, Entertainment, Recreation",Protective Service Occupations,,Less than High School,13,107,10167,107
"Arts, Entertainment, Recreation",Protective Service Occupations,,High School,13,456,45040,456
"Arts, Entertainment, Recreation",Protective Service Occupations,,Some College,13,783,75913,783
"Arts, Entertainment, Recreation",Protective Service Occupations,,Bachelors Degree or more,13,261,25756,261
"Arts, Entertainment, Recreation",Food Preparation & Serving Related Occupations,,Less than High School,13,359,38526,359
"Arts, Entertainment, Recreation",Food Preparation & Serving Related Occupations,,High School,13,760,85748,760
"Arts, Entertainment, Recreation",Food Preparation & Serving Related Occupations,,Some College,13,946,108786,946
"Arts, Entertainment, Recreation",Food Preparation & Serving Related Occupations,,Bachelors Degree or more,13,196,21497,196
"Arts, Entertainment, Recreation",Building & Grounds Cleaning & Maintenance Occupations,,Less than High School,13,486,57104,486
"Arts, Entertainment, Recreation",Building & Grounds Cleaning & Maintenance Occupations,,High School,13,1006,113148,1006
"Arts, Entertainment, Recreation",Building & Grounds Cleaning & Maintenance Occupations,,Some College,13,766,80753,766
"Arts, Entertainment, Recreation",Building & Grounds Cleaning & Maintenance Occupations,,Bachelors Degree or more,13,260,26731,260
"Arts, Entertainment, Recreation",Personal Care & Service Occupations,,Less than High School,13,376,39517,376
"Arts, Entertainment, Recreation",Personal Care & Service Occupations,,High School,13,1563,161231,1563
"Arts, Entertainment, Recreation",Personal Care & Service Occupations,,Some College,13,2749,300577,2749
"Arts, Entertainment, Recreation",Personal Care & Service Occupations,,Bachelors Degree or more,13,2124,216270,2124
"Arts, Entertainment, Recreation",Sales & Related Occupations,,Less than High School,13,100,13434,100
"Arts, Entertainment, Recreation",Sales & Related Occupations,,High School,13,446,48450,446
"Arts, Entertainment, Recreation",Sales & Related Occupations,,Some College,13,678,67486,678
"Arts, Entertainment, Recreation",Sales & Related Occupations,,Bachelors Degree or more,13,538,51719,538
"Arts, Entertainment, Recreation",Office & Administrative Support Occupations,,Less than High School,13,96,10346,96
"Arts, Entertainment, Recreation",Office & Administrative Support Occupations,,High School,13,620,62587,620
"Arts, Entertainment, Recreation",Office & Administrative Support Occupations,,Some College,13,1067,108776,1067
"Arts, Entertainment, Recreation",Office & Administrative Support Occupations,,Bachelors Degree or more,13,638,61077,638
"Arts, Entertainment, Recreation","Farming, Fishing, & Forestry Occupations",,Less than High School,13,8,800,8
"Arts, Entertainment, Recreation","Farming, Fishing, & Forestry Occupations",,High School,13,9,1294,9
"Arts, Entertainment, Recreation","Farming, Fishing, & Forestry Occupations",,Some College,13,10,1438,10
"Arts, Entertainment, Recreation","Farming, Fishing, & Forestry Occupations",,Bachelors Degree or more,13,10,467,10
"Arts, Entertainment, Recreation",Construction & Extraction Occupations,,Less than High School,13,18,1382,18
"Arts, Entertainment, Recreation",Construction & Extraction Occupations,,High School,13,71,6967,71
"Arts, Entertainment, Recreation",Construction & Extraction Occupations,,Some College,13,79,6583,79
"Arts, Entertainment, Recreation",Construction & Extraction Occupations,,Bachelors Degree or more,13,26,2364,26
"Arts, Entertainment, Recreation","Installation, Maintenance, & Repair Occupations",,Less than High School,13,70,7635,70
"Arts, Entertainment, Recreation","Installation, Maintenance, & Repair Occupations",,High School,13,280,27930,280
"Arts, Entertainment, Recreation","Installation, Maintenance, & Repair Occupations",,Some College,13,261,25844,261
"Arts, Entertainment, Recreation","Installation, Maintenance, & Repair Occupations",,Bachelors Degree or more,13,60,6345,60
"Arts, Entertainment, Recreation",Production Occupations,,Less than High School,13,31,4778,31
"Arts, Entertainment, Recreation",Production Occupations,,High School,13,71,7424,71
"Arts, Entertainment, Recreation",Production Occupations,,Some College,13,85,8123,85
"Arts, Entertainment, Recreation",Production Occupations,,Bachelors Degree or more,13,41,3533,41
"Arts, Entertainment, Recreation",Transportation & Material Moving Occupations,,Less than High School,13,74,8628,74
"Arts, Entertainment, Recreation",Transportation & Material Moving Occupations,,High School,13,189,20506,189
"Arts, Entertainment, Recreation",Transportation & Material Moving Occupations,,Some College,13,216,21335,216
"Arts, Entertainment, Recreation",Transportation & Material Moving Occupations,,Bachelors Degree or more,13,65,7502,65
Accommodation and Food Services,Management Occupations,,Less than High School,13,808,100916,808
Accommodation and Food Services,Management Occupations,,High School,13,2675,322885,2675
Accommodation and Food Services,Management Occupations,,Some College,13,3990,463433,3990
Accommodation and Food Services,Management Occupations,,Bachelors Degree or more,13,2943,318812,2943
Accommodation and Food Services,Business & Financial Operations Occupations,,Less than High School,13,22,2199,22
Accommodation and Food Services,Business & Financial Operations Occupations,,High School,13,100,9704,100
Accommodation and Food Services,Business & Financial Operations Occupations,,Some College,13,181,19851,181
Accommodation and Food Services,Business & Financial Operations Occupations,,Bachelors Degree or more,13,428,44803,428
Accommodation and Food Services,Computer & Mathematical Occupations,,Less than High School,13,2,167,2
Accommodation and Food Services,Computer & Mathematical Occupations,,High School,13,8,732,8
Accommodation and Food Services,Computer & Mathematical Occupations,,Some College,13,50,4445,50
Accommodation and Food Services,Computer & Mathematical Occupations,,Bachelors Degree or more,13,77,7563,77
Accommodation and Food Services,Architecture & Engineering Occupations,,Less than High School,13,1,154,1
Accommodation and Food Services,Architecture & Engineering Occupations,,High School,13,13,1435,13
Accommodation and Food Services,Architecture & Engineering Occupations,,Some College,13,14,1499,14
Accommodation and Food Services,Architecture & Engineering Occupations,,Bachelors Degree or more,13,20,2012,20
Accommodation and Food Services,"Life, Physical, & Social Science Occupations",,High School,13,1,18,1
Accommodation and Food Services,"Life, Physical, & Social Science Occupations",,Some College,13,2,117,2
Accommodation and Food Services,"Life, Physical, & Social Science Occupations",,Bachelors Degree or more,13,11,729,11
Accommodation and Food Services,Community & Social Services Occupations,,High School,13,4,253,4
Accommodation and Food Services,Community & Social Services Occupations,,Some College,13,21,2602,21
Accommodation and Food Services,Community & Social Services Occupations,,Bachelors Degree or more,13,16,1237,16
Accommodation and Food Services,Legal Occupations,,High School,13,3,247,3
Accommodation and Food Services,Legal Occupations,,Some College,13,3,250,3
Accommodation and Food Services,Legal Occupations,,Bachelors Degree or more,13,23,2034,23
Accommodation and Food Services,"Education, Training, & Library Occupations",,Less than High School,13,28,3667,28
Accommodation and Food Services,"Education, Training, & Library Occupations",,High School,13,70,9851,70
Accommodation and Food Services,"Education, Training, & Library Occupations",,Some College,13,83,8870,83
Accommodation and Food Services,"Education, Training, & Library Occupations",,Bachelors Degree or more,13,31,3725,31
Accommodation and Food Services,"Arts, Design, Entertainment, Sports, & Media Occupations",,Less than High School,13,16,2515,16
Accommodation and Food Services,"Arts, Design, Entertainment, Sports, & Media Occupations",,High School,13,35,4522,35
Accommodation and Food Services,"Arts, Design, Entertainment, Sports, & Media Occupations",,Some College,13,94,11560,94
Accommodation and Food Services,"Arts, Design, Entertainment, Sports, & Media Occupations",,Bachelors Degree or more,13,81,7851,81
Accommodation and Food Services,Healthcare Practitioners & Technical Occupations,,Less than High School,13,2,238,2
Accommodation and Food Services,Healthcare Practitioners & Technical Occupations,,High School,13,2,159,2
Accommodation and Food Services,Healthcare Practitioners & Technical Occupations,,Some College,13,17,2403,17
Accommodation and Food Services,Healthcare Practitioners & Technical Occupations,,Bachelors Degree or more,13,31,3768,31
Accommodation and Food Services,Healthcare Support Occupations,,Less than High School,13,2,121,2
Accommodation and Food Services,Healthcare Support Occupations,,High School,13,16,1560,16
Accommodation and Food Services,Healthcare Support Occupations,,Some College,13,52,4866,52
Accommodation and Food Services,Healthcare Support Occupations,,Bachelors Degree or more,13,25,2736,25
Accommodation and Food Services,Protective Service Occupations,,Less than High School,13,30,3306,30
Accommodation and Food Services,Protective Service Occupations,,High School,13,169,19552,169
Accommodation and Food Services,Protective Service Occupations,,Some College,13,197,22251,197
Accommodation and Food Services,Protective Service Occupations,,Bachelors Degree or more,13,45,4411,45
Accommodation and Food Services,Food Preparation & Serving Related Occupations,,Less than High School,13,9422,1256312,9422
Accommodation and Food Services,Food Preparation & Serving Related Occupations,,High School,13,17185,2139194,17185
Accommodation and Food Services,Food Preparation & Serving Related Occupations,,Some College,13,20264,2468723,20264
Accommodation and Food Services,Food Preparation & Serving Related Occupations,,Bachelors Degree or more,13,4921,584338,4921
Accommodation and Food Services,Building & Grounds Cleaning & Maintenance Occupations,,Less than High School,13,1646,210160,1646
Accommodation and Food Services,Building & Grounds Cleaning & Maintenance Occupations,,High School,13,1773,214996,1773
Accommodation and Food Services,Building & Grounds Cleaning & Maintenance Occupations,,Some College,13,966,108742,966
Accommodation and Food Services,Building & Grounds Cleaning & Maintenance Occupations,,Bachelors Degree or more,13,231,24073,231
Accommodation and Food Services,Personal Care & Service Occupations,,Less than High School,13,59,6603,59
Accommodation and Food Services,Personal Care & Service Occupations,,High School,13,273,29578,273
Accommodation and Food Services,Personal Care & Service Occupations,,Some College,13,421,48973,421
Accommodation and Food Services,Personal Care & Service Occupations,,Bachelors Degree or more,13,171,20082,171
Accommodation and Food Services,Sales & Related Occupations,,Less than High School,13,1172,155010,1172
Accommodation and Food Services,Sales & Related Occupations,,High School,13,2299,293647,2299
Accommodation and Food Services,Sales & Related Occupations,,Some College,13,2612,314668,2612
Accommodation and Food Services,Sales & Related Occupations,,Bachelors Degree or more,13,589,61886,589
Accommodation and Food Services,Office & Administrative Support Occupations,,Less than High School,13,350,40293,350
Accommodation and Food Services,Office & Administrative Support Occupations,,High School,13,1388,153794,1388
Accommodation and Food Services,Office & Administrative Support Occupations,,Some College,13,2086,235870,2086
Accommodation and Food Services,Office & Administrative Support Occupations,,Bachelors Degree or more,13,858,92251,858
Accommodation and Food Services,"Farming, Fishing, & Forestry Occupations",,Less than High School,13,2,208,2
Accommodation and Food Services,"Farming, Fishing, & Forestry Occupations",,High School,13,5,243,5
Accommodation and Food Services,"Farming, Fishing, & Forestry Occupations",,Some College,13,4,540,4
Accommodation and Food Services,"Farming, Fishing, & Forestry Occupations",,Bachelors Degree or more,13,1,247,1
Accommodation and Food Services,Construction & Extraction Occupations,,Less than High School,13,23,2436,23
Accommodation and Food Services,Construction & Extraction Occupations,,High School,13,49,6170,49
Accommodation and Food Services,Construction & Extraction Occupations,,Some College,13,30,2342,30
Accommodation and Food Services,Construction & Extraction Occupations,,Bachelors Degree or more,13,6,324,6
Accommodation and Food Services,"Installation, Maintenance, & Repair Occupations",,Less than High School,13,55,7632,55
Accommodation and Food Services,"Installation, Maintenance, & Repair Occupations",,High School,13,151,16268,151
Accommodation and Food Services,"Installation, Maintenance, & Repair Occupations",,Some College,13,149,15048,149
Accommodation and Food Services,"Installation, Maintenance, & Repair Occupations",,Bachelors Degree or more,13,36,3848,36
Accommodation and Food Services,Production Occupations,,Less than High School,13,205,22672,205
Accommodation and Food Services,Production Occupations,,High School,13,372,41735,372
Accommodation and Food Services,Production Occupations,,Some College,13,336,36942,336
Accommodation and Food Services,Production Occupations,,Bachelors Degree or more,13,83,10032,83
Accommodation and Food Services,Transportation & Material Moving Occupations,,Less than High School,13,306,42667,306
Accommodation and Food Services,Transportation & Material Moving Occupations,,High School,13,708,85788,708
Accommodation and Food Services,Transportation & Material Moving Occupations,,Some College,13,878,106207,878
Accommodation and Food Services,Transportation & Material Moving Occupations,,Bachelors Degree or more,13,219,27448,219
Other Services (except Public Administration)       ,Management Occupations,,Less than High School,13,113,11336,113
Other Services (except Public Administration)       ,Management Occupations,,High School,13,578,58851,578
Other Services (except Public Administration)       ,Management Occupations,,Some College,13,1102,109548,1102
Other Services (except Public Administration)       ,Management Occupations,,Bachelors Degree or more,13,2681,252484,2681
Other Services (except Public Administration)       ,Business & Financial Operations Occupations,,Less than High School,13,26,2395,26
Other Services (except Public Administration)       ,Business & Financial Operations Occupations,,High School,13,174,18863,174
Other Services (except Public Administration)       ,Business & Financial Operations Occupations,,Some College,13,508,52522,508
Other Services (except Public Administration)       ,Business & Financial Operations Occupations,,Bachelors Degree or more,13,1214,116024,1214
Other Services (except Public Administration)       ,Computer & Mathematical Occupations,,Less than High School,13,2,148,2
Other Services (except Public Administration)       ,Computer & Mathematical Occupations,,High School,13,33,3594,33
Other Services (except Public Administration)       ,Computer & Mathematical Occupations,,Some College,13,161,16682,161
