MajorOcc,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
"Arts, Design, Entertainment, Sports, & Media Occupations",,0,Black/African American only,Bachelors Degree or more,23,299,35978,299
"Arts, Design, Entertainment, Sports, & Media Occupations",,0,Asian only,Less than High School,23,22,2323,22
"Arts, Design, Entertainment, Sports, & Media Occupations",,0,Asian only,High School,23,32,3991,32
"Arts, Design, Entertainment, Sports, & Media Occupations",,0,Asian only,Some College,23,142,14756,142
"Arts, Design, Entertainment, Sports, & Media Occupations",,0,Asian only,Bachelors Degree or more,23,525,53025,525
"Arts, Design, Entertainment, Sports, & Media Occupations",,0,Some other race(s),Less than High School,23,27,3555,27
"Arts, Design, Entertainment, Sports, & Media Occupations",,0,Some other race(s),High School,23,56,7034,56
"Arts, Design, Entertainment, Sports, & Media Occupations",,0,Some other race(s),Some College,23,191,21402,191
"Arts, Design, Entertainment, Sports, & Media Occupations",,0,Some other race(s),Bachelors Degree or more,23,306,31811,306
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,White only,Less than High School,23,243,26805,243
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,White only,High School,23,1268,128548,1268
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,White only,Some College,23,3705,379674,3705
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,White only,Bachelors Degree or more,23,7055,705568,7055
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Black/African American only,Less than High School,23,29,3756,29
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Black/African American only,High School,23,119,15987,119
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Black/African American only,Some College,23,313,44610,313
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Black/African American only,Bachelors Degree or more,23,314,42350,314
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Asian only,Less than High School,23,6,803,6
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Asian only,High School,23,49,4502,49
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Asian only,Some College,23,135,14548,135
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Asian only,Bachelors Degree or more,23,470,51739,470
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Some other race(s),Less than High School,23,61,8594,61
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Some other race(s),High School,23,101,10939,101
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Some other race(s),Some College,23,285,32815,285
"Arts, Design, Entertainment, Sports, & Media Occupations",,1,Some other race(s),Bachelors Degree or more,23,327,40804,327
Healthcare Practitioners & Technical Occupations,,0,White only,Less than High School,23,252,27030,252
Healthcare Practitioners & Technical Occupations,,0,White only,High School,23,2731,268363,2731
Healthcare Practitioners & Technical Occupations,,0,White only,Some College,23,20745,1926820,20745
Healthcare Practitioners & Technical Occupations,,0,White only,Bachelors Degree or more,23,25574,2435725,25574
Healthcare Practitioners & Technical Occupations,,0,Black/African American only,Less than High School,23,77,8577,77
Healthcare Practitioners & Technical Occupations,,0,Black/African American only,High School,23,578,75922,578
Healthcare Practitioners & Technical Occupations,,0,Black/African American only,Some College,23,2511,322623,2511
Healthcare Practitioners & Technical Occupations,,0,Black/African American only,Bachelors Degree or more,23,2259,282409,2259
Healthcare Practitioners & Technical Occupations,,0,Asian only,Less than High School,23,43,3897,43
Healthcare Practitioners & Technical Occupations,,0,Asian only,High School,23,110,11314,110
Healthcare Practitioners & Technical Occupations,,0,Asian only,Some College,23,792,84368,792
Healthcare Practitioners & Technical Occupations,,0,Asian only,Bachelors Degree or more,23,3800,394072,3800
Healthcare Practitioners & Technical Occupations,,0,Some other race(s),Less than High School,23,54,4843,54
Healthcare Practitioners & Technical Occupations,,0,Some other race(s),High School,23,191,20650,191
Healthcare Practitioners & Technical Occupations,,0,Some other race(s),Some College,23,970,105959,970
Healthcare Practitioners & Technical Occupations,,0,Some other race(s),Bachelors Degree or more,23,929,102438,929
Healthcare Practitioners & Technical Occupations,,1,White only,Less than High School,23,64,7770,64
Healthcare Practitioners & Technical Occupations,,1,White only,High School,23,597,60741,597
Healthcare Practitioners & Technical Occupations,,1,White only,Some College,23,3665,367961,3665
Healthcare Practitioners & Technical Occupations,,1,White only,Bachelors Degree or more,23,11777,1111342,11777
Healthcare Practitioners & Technical Occupations,,1,Black/African American only,Less than High School,23,29,3291,29
Healthcare Practitioners & Technical Occupations,,1,Black/African American only,High School,23,132,16220,132
Healthcare Practitioners & Technical Occupations,,1,Black/African American only,Some College,23,448,58712,448
Healthcare Practitioners & Technical Occupations,,1,Black/African American only,Bachelors Degree or more,23,662,82570,662
Healthcare Practitioners & Technical Occupations,,1,Asian only,Less than High School,23,8,1014,8
Healthcare Practitioners & Technical Occupations,,1,Asian only,High School,23,42,4913,42
Healthcare Practitioners & Technical Occupations,,1,Asian only,Some College,23,361,39732,361
Healthcare Practitioners & Technical Occupations,,1,Asian only,Bachelors Degree or more,23,2100,215223,2100
Healthcare Practitioners & Technical Occupations,,1,Some other race(s),Less than High School,23,13,1354,13
Healthcare Practitioners & Technical Occupations,,1,Some other race(s),High School,23,90,9572,90
Healthcare Practitioners & Technical Occupations,,1,Some other race(s),Some College,23,271,29311,271
Healthcare Practitioners & Technical Occupations,,1,Some other race(s),Bachelors Degree or more,23,473,51199,473
Healthcare Support Occupations,,0,White only,Less than High School,23,1272,134654,1272
Healthcare Support Occupations,,0,White only,High School,23,5882,594108,5882
Healthcare Support Occupations,,0,White only,Some College,23,10424,1077680,10424
Healthcare Support Occupations,,0,White only,Bachelors Degree or more,23,2139,218503,2139
Healthcare Support Occupations,,0,Black/African American only,Less than High School,23,792,96610,792
Healthcare Support Occupations,,0,Black/African American only,High School,23,2244,294458,2244
Healthcare Support Occupations,,0,Black/African American only,Some College,23,2850,389904,2850
Healthcare Support Occupations,,0,Black/African American only,Bachelors Degree or more,23,373,47242,373
Healthcare Support Occupations,,0,Asian only,Less than High School,23,135,13810,135
Healthcare Support Occupations,,0,Asian only,High School,23,254,29009,254
Healthcare Support Occupations,,0,Asian only,Some College,23,538,58501,538
Healthcare Support Occupations,,0,Asian only,Bachelors Degree or more,23,388,40221,388
Healthcare Support Occupations,,0,Some other race(s),Less than High School,23,309,33988,309
Healthcare Support Occupations,,0,Some other race(s),High School,23,671,80282,671
Healthcare Support Occupations,,0,Some other race(s),Some College,23,1038,121161,1038
Healthcare Support Occupations,,0,Some other race(s),Bachelors Degree or more,23,205,21672,205
Healthcare Support Occupations,,1,White only,Less than High School,23,124,13418,124
Healthcare Support Occupations,,1,White only,High School,23,631,67997,631
Healthcare Support Occupations,,1,White only,Some College,23,1386,153275,1386
Healthcare Support Occupations,,1,White only,Bachelors Degree or more,23,659,66230,659
Healthcare Support Occupations,,1,Black/African American only,Less than High School,23,57,7193,57
Healthcare Support Occupations,,1,Black/African American only,High School,23,274,37180,274
Healthcare Support Occupations,,1,Black/African American only,Some College,23,386,52337,386
Healthcare Support Occupations,,1,Black/African American only,Bachelors Degree or more,23,103,15993,103
Healthcare Support Occupations,,1,Asian only,Less than High School,23,25,2974,25
Healthcare Support Occupations,,1,Asian only,High School,23,67,6990,67
Healthcare Support Occupations,,1,Asian only,Some College,23,164,19744,164
Healthcare Support Occupations,,1,Asian only,Bachelors Degree or more,23,167,17490,167
Healthcare Support Occupations,,1,Some other race(s),Less than High School,23,47,4853,47
Healthcare Support Occupations,,1,Some other race(s),High School,23,103,12876,103
Healthcare Support Occupations,,1,Some other race(s),Some College,23,187,21722,187
Healthcare Support Occupations,,1,Some other race(s),Bachelors Degree or more,23,55,6223,55
Protective Service Occupations,,0,White only,Less than High School,23,149,14641,149
Protective Service Occupations,,0,White only,High School,23,1113,108559,1113
Protective Service Occupations,,0,White only,Some College,23,1994,201484,1994
Protective Service Occupations,,0,White only,Bachelors Degree or more,23,1243,120029,1243
Protective Service Occupations,,0,Black/African American only,Less than High School,23,83,10427,83
Protective Service Occupations,,0,Black/African American only,High School,23,485,61240,485
Protective Service Occupations,,0,Black/African American only,Some College,23,695,87944,695
Protective Service Occupations,,0,Black/African American only,Bachelors Degree or more,23,333,42269,333
Protective Service Occupations,,0,Asian only,Less than High School,23,8,673,8
Protective Service Occupations,,0,Asian only,High School,23,17,1455,17
Protective Service Occupations,,0,Asian only,Some College,23,45,4305,45
Protective Service Occupations,,0,Asian only,Bachelors Degree or more,23,33,3495,33
Protective Service Occupations,,0,Some other race(s),Less than High School,23,51,4710,51
Protective Service Occupations,,0,Some other race(s),High School,23,120,14406,120
Protective Service Occupations,,0,Some other race(s),Some College,23,201,18270,201
Protective Service Occupations,,0,Some other race(s),Bachelors Degree or more,23,99,9787,99
Protective Service Occupations,,1,White only,Less than High School,23,419,40483,419
Protective Service Occupations,,1,White only,High School,23,4134,408156,4134
Protective Service Occupations,,1,White only,Some College,23,9429,944807,9429
Protective Service Occupations,,1,White only,Bachelors Degree or more,23,4841,485934,4841
Protective Service Occupations,,1,Black/African American only,Less than High School,23,151,17232,151
Protective Service Occupations,,1,Black/African American only,High School,23,911,115742,911
Protective Service Occupations,,1,Black/African American only,Some College,23,1511,185744,1511
Protective Service Occupations,,1,Black/African American only,Bachelors Degree or more,23,576,69748,576
Protective Service Occupations,,1,Asian only,Less than High School,23,20,2198,20
Protective Service Occupations,,1,Asian only,High School,23,89,9730,89
Protective Service Occupations,,1,Asian only,Some College,23,237,25458,237
Protective Service Occupations,,1,Asian only,Bachelors Degree or more,23,179,17180,179
Protective Service Occupations,,1,Some other race(s),Less than High School,23,91,8939,91
Protective Service Occupations,,1,Some other race(s),High School,23,410,42790,410
Protective Service Occupations,,1,Some other race(s),Some College,23,735,81032,735
Protective Service Occupations,,1,Some other race(s),Bachelors Degree or more,23,261,28370,261
Food Preparation & Serving Related Occupations,,0,White only,Less than High School,23,4052,482062,4052
Food Preparation & Serving Related Occupations,,0,White only,High School,23,10621,1119218,10621
Food Preparation & Serving Related Occupations,,0,White only,Some College,23,11596,1307606,11596
Food Preparation & Serving Related Occupations,,0,White only,Bachelors Degree or more,23,2671,290491,2671
Food Preparation & Serving Related Occupations,,0,Black/African American only,Less than High School,23,706,85091,706
Food Preparation & Serving Related Occupations,,0,Black/African American only,High School,23,1578,203947,1578
Food Preparation & Serving Related Occupations,,0,Black/African American only,Some College,23,1426,196196,1426
Food Preparation & Serving Related Occupations,,0,Black/African American only,Bachelors Degree or more,23,160,23398,160
Food Preparation & Serving Related Occupations,,0,Asian only,Less than High School,23,454,49305,454
Food Preparation & Serving Related Occupations,,0,Asian only,High School,23,538,60293,538
Food Preparation & Serving Related Occupations,,0,Asian only,Some College,23,610,71121,610
Food Preparation & Serving Related Occupations,,0,Asian only,Bachelors Degree or more,23,319,35619,319
Food Preparation & Serving Related Occupations,,0,Some other race(s),Less than High School,23,952,131910,952
Food Preparation & Serving Related Occupations,,0,Some other race(s),High School,23,1101,142201,1101
Food Preparation & Serving Related Occupations,,0,Some other race(s),Some College,23,1158,140784,1158
Food Preparation & Serving Related Occupations,,0,Some other race(s),Bachelors Degree or more,23,205,25753,205
Food Preparation & Serving Related Occupations,,1,White only,Less than High School,23,3229,427732,3229
Food Preparation & Serving Related Occupations,,1,White only,High School,23,6341,797243,6341
Food Preparation & Serving Related Occupations,,1,White only,Some College,23,7828,940907,7828
Food Preparation & Serving Related Occupations,,1,White only,Bachelors Degree or more,23,1930,225940,1930
Food Preparation & Serving Related Occupations,,1,Black/African American only,Less than High School,23,611,85333,611
Food Preparation & Serving Related Occupations,,1,Black/African American only,High School,23,1434,212842,1434
Food Preparation & Serving Related Occupations,,1,Black/African American only,Some College,23,1192,167031,1192
Food Preparation & Serving Related Occupations,,1,Black/African American only,Bachelors Degree or more,23,182,26907,182
Food Preparation & Serving Related Occupations,,1,Asian only,Less than High School,23,576,65223,576
Food Preparation & Serving Related Occupations,,1,Asian only,High School,23,665,81515,665
Food Preparation & Serving Related Occupations,,1,Asian only,Some College,23,635,70444,635
Food Preparation & Serving Related Occupations,,1,Asian only,Bachelors Degree or more,23,304,37162,304
Food Preparation & Serving Related Occupations,,1,Some other race(s),Less than High School,23,1295,204153,1295
Food Preparation & Serving Related Occupations,,1,Some other race(s),High School,23,1220,173782,1220
Food Preparation & Serving Related Occupations,,1,Some other race(s),Some College,23,1020,134088,1020
Food Preparation & Serving Related Occupations,,1,Some other race(s),Bachelors Degree or more,23,192,26900,192
Building & Grounds Cleaning & Maintenance Occupations,,0,White only,Less than High School,23,3975,473307,3975
Building & Grounds Cleaning & Maintenance Occupations,,0,White only,High School,23,5905,616950,5905
Building & Grounds Cleaning & Maintenance Occupations,,0,White only,Some College,23,3026,314785,3026
Building & Grounds Cleaning & Maintenance Occupations,,0,White only,Bachelors Degree or more,23,782,83192,782
Building & Grounds Cleaning & Maintenance Occupations,,0,Black/African American only,Less than High School,23,865,96353,865
Building & Grounds Cleaning & Maintenance Occupations,,0,Black/African American only,High School,23,1267,153547,1267
Building & Grounds Cleaning & Maintenance Occupations,,0,Black/African American only,Some College,23,639,79528,639
Building & Grounds Cleaning & Maintenance Occupations,,0,Black/African American only,Bachelors Degree or more,23,90,10331,90
Building & Grounds Cleaning & Maintenance Occupations,,0,Asian only,Less than High School,23,252,27612,252
Building & Grounds Cleaning & Maintenance Occupations,,0,Asian only,High School,23,215,23529,215
Building & Grounds Cleaning & Maintenance Occupations,,0,Asian only,Some College,23,133,13978,133
Building & Grounds Cleaning & Maintenance Occupations,,0,Asian only,Bachelors Degree or more,23,82,8914,82
Building & Grounds Cleaning & Maintenance Occupations,,0,Some other race(s),Less than High School,23,1604,209080,1604
Building & Grounds Cleaning & Maintenance Occupations,,0,Some other race(s),High School,23,955,122892,955
Building & Grounds Cleaning & Maintenance Occupations,,0,Some other race(s),Some College,23,475,51912,475
Building & Grounds Cleaning & Maintenance Occupations,,0,Some other race(s),Bachelors Degree or more,23,109,13800,109
Building & Grounds Cleaning & Maintenance Occupations,,1,White only,Less than High School,23,4667,569466,4667
Building & Grounds Cleaning & Maintenance Occupations,,1,White only,High School,23,9342,978801,9342
Building & Grounds Cleaning & Maintenance Occupations,,1,White only,Some College,23,6667,674109,6667
Building & Grounds Cleaning & Maintenance Occupations,,1,White only,Bachelors Degree or more,23,1828,180787,1828
Building & Grounds Cleaning & Maintenance Occupations,,1,Black/African American only,Less than High School,23,786,92013,786
Building & Grounds Cleaning & Maintenance Occupations,,1,Black/African American only,High School,23,1642,218877,1642
Building & Grounds Cleaning & Maintenance Occupations,,1,Black/African American only,Some College,23,975,125709,975
Building & Grounds Cleaning & Maintenance Occupations,,1,Black/African American only,Bachelors Degree or more,23,199,25737,199
Building & Grounds Cleaning & Maintenance Occupations,,1,Asian only,Less than High School,23,206,21369,206
Building & Grounds Cleaning & Maintenance Occupations,,1,Asian only,High School,23,228,26695,228
Building & Grounds Cleaning & Maintenance Occupations,,1,Asian only,Some College,23,225,22086,225
Building & Grounds Cleaning & Maintenance Occupations,,1,Asian only,Bachelors Degree or more,23,120,11638,120
Building & Grounds Cleaning & Maintenance Occupations,,1,Some other race(s),Less than High School,23,1782,260603,1782
Building & Grounds Cleaning & Maintenance Occupations,,1,Some other race(s),High School,23,1252,163574,1252
Building & Grounds Cleaning & Maintenance Occupations,,1,Some other race(s),Some College,23,703,85048,703
Building & Grounds Cleaning & Maintenance Occupations,,1,Some other race(s),Bachelors Degree or more,23,137,16105,137
Personal Care & Service Occupations,,0,White only,Less than High School,23,2217,229685,2217
Personal Care & Service Occupations,,0,White only,High School,23,9609,982866,9609
Personal Care & Service Occupations,,0,White only,Some College,23,11431,1157029,11431
Personal Care & Service Occupations,,0,White only,Bachelors Degree or more,23,4513,458354,4513
Personal Care & Service Occupations,,0,Black/African American only,Less than High School,23,516,63539,516
Personal Care & Service Occupations,,0,Black/African American only,High School,23,1610,200710,1610
Personal Care & Service Occupations,,0,Black/African American only,Some College,23,2096,271095,2096
Personal Care & Service Occupations,,0,Black/African American only,Bachelors Degree or more,23,430,56387,430
Personal Care & Service Occupations,,0,Asian only,Less than High School,23,728,75715,728
Personal Care & Service Occupations,,0,Asian only,High School,23,788,95132,788
Personal Care & Service Occupations,,0,Asian only,Some College,23,852,92960,852
Personal Care & Service Occupations,,0,Asian only,Bachelors Degree or more,23,574,61619,574
Personal Care & Service Occupations,,0,Some other race(s),Less than High School,23,699,82894,699
Personal Care & Service Occupations,,0,Some other race(s),High School,23,897,102467,897
Personal Care & Service Occupations,,0,Some other race(s),Some College,23,1174,130067,1174
Personal Care & Service Occupations,,0,Some other race(s),Bachelors Degree or more,23,313,35600,313
Personal Care & Service Occupations,,1,White only,Less than High School,23,488,52490,488
Personal Care & Service Occupations,,1,White only,High School,23,2147,222345,2147
Personal Care & Service Occupations,,1,White only,Some College,23,3259,338765,3259
Personal Care & Service Occupations,,1,White only,Bachelors Degree or more,23,1683,172259,1683
Personal Care & Service Occupations,,1,Black/African American only,Less than High School,23,130,15565,130
Personal Care & Service Occupations,,1,Black/African American only,High School,23,465,63228,465
Personal Care & Service Occupations,,1,Black/African American only,Some College,23,599,84207,599
Personal Care & Service Occupations,,1,Black/African American only,Bachelors Degree or more,23,210,28382,210
Personal Care & Service Occupations,,1,Asian only,Less than High School,23,172,19318,172
Personal Care & Service Occupations,,1,Asian only,High School,23,265,35350,265
Personal Care & Service Occupations,,1,Asian only,Some College,23,343,40541,343
Personal Care & Service Occupations,,1,Asian only,Bachelors Degree or more,23,186,20692,186
Personal Care & Service Occupations,,1,Some other race(s),Less than High School,23,147,17582,147
Personal Care & Service Occupations,,1,Some other race(s),High School,23,311,35810,311
Personal Care & Service Occupations,,1,Some other race(s),Some College,23,350,42703,350
Personal Care & Service Occupations,,1,Some other race(s),Bachelors Degree or more,23,104,10660,104
Sales & Related Occupations,,0,White only,Less than High School,23,3621,394496,3621
Sales & Related Occupations,,0,White only,High School,23,16529,1707335,16529
Sales & Related Occupations,,0,White only,Some College,23,21473,2268984,21473
Sales & Related Occupations,,0,White only,Bachelors Degree or more,23,13196,1332640,13196
Sales & Related Occupations,,0,Black/African American only,Less than High School,23,571,74602,571
Sales & Related Occupations,,0,Black/African American only,High School,23,2156,295109,2156
Sales & Related Occupations,,0,Black/African American only,Some College,23,3238,449759,3238
Sales & Related Occupations,,0,Black/African American only,Bachelors Degree or more,23,993,126534,993
Sales & Related Occupations,,0,Asian only,Less than High School,23,328,33609,328
Sales & Related Occupations,,0,Asian only,High School,23,755,85548,755
Sales & Related Occupations,,0,Asian only,Some College,23,1081,116695,1081
Sales & Related Occupations,,0,Asian only,Bachelors Degree or more,23,1228,138329,1228
Sales & Related Occupations,,0,Some other race(s),Less than High School,23,727,92311,727
Sales & Related Occupations,,0,Some other race(s),High School,23,1475,174870,1475
Sales & Related Occupations,,0,Some other race(s),Some College,23,2059,248200,2059
Sales & Related Occupations,,0,Some other race(s),Bachelors Degree or more,23,599,67332,599
Sales & Related Occupations,,1,White only,Less than High School,23,2636,294505,2636
Sales & Related Occupations,,1,White only,High School,23,13850,1467406,13850
Sales & Related Occupations,,1,White only,Some College,23,21834,2294027,21834
Sales & Related Occupations,,1,White only,Bachelors Degree or more,23,21896,2197207,21896
Sales & Related Occupations,,1,Black/African American only,Less than High School,23,293,36465,293
Sales & Related Occupations,,1,Black/African American only,High School,23,1137,157650,1137
Sales & Related Occupations,,1,Black/African American only,Some College,23,1946,274109,1946
Sales & Related Occupations,,1,Black/African American only,Bachelors Degree or more,23,992,134980,992
Sales & Related Occupations,,1,Asian only,Less than High School,23,287,30550,287
Sales & Related Occupations,,1,Asian only,High School,23,572,65041,572
Sales & Related Occupations,,1,Asian only,Some College,23,1165,125796,1165
Sales & Related Occupations,,1,Asian only,Bachelors Degree or more,23,1670,191305,1670
Sales & Related Occupations,,1,Some other race(s),Less than High School,23,504,64920,504
Sales & Related Occupations,,1,Some other race(s),High School,23,1094,138729,1094
Sales & Related Occupations,,1,Some other race(s),Some College,23,1506,187843,1506
Sales & Related Occupations,,1,Some other race(s),Bachelors Degree or more,23,700,83920,700
Office & Administrative Support Occupations,,0,White only,Less than High School,23,3416,350683,3416
Office & Administrative Support Occupations,,0,White only,High School,23,35730,3384390,35730
Office & Administrative Support Occupations,,0,White only,Some College,23,52373,4974811,52373
Office & Administrative Support Occupations,,0,White only,Bachelors Degree or more,23,21521,2052056,21521
Office & Administrative Support Occupations,,0,Black/African American only,Less than High School,23,473,56936,473
Office & Administrative Support Occupations,,0,Black/African American only,High School,23,3324,415666,3324
Office & Administrative Support Occupations,,0,Black/African American only,Some College,23,7795,960788,7795
Office & Administrative Support Occupations,,0,Black/African American only,Bachelors Degree or more,23,2829,329089,2829
Office & Administrative Support Occupations,,0,Asian only,Less than High School,23,287,26727,287
Office & Administrative Support Occupations,,0,Asian only,High School,23,831,85576,831
Office & Administrative Support Occupations,,0,Asian only,Some College,23,1941,201751,1941
Office & Administrative Support Occupations,,0,Asian only,Bachelors Degree or more,23,2216,226184,2216
Office & Administrative Support Occupations,,0,Some other race(s),Less than High School,23,608,70366,608
Office & Administrative Support Occupations,,0,Some other race(s),High School,23,2337,254473,2337
Office & Administrative Support Occupations,,0,Some other race(s),Some College,23,3966,432186,3966
Office & Administrative Support Occupations,,0,Some other race(s),Bachelors Degree or more,23,1174,130820,1174
Office & Administrative Support Occupations,,1,White only,Less than High School,23,1942,211451,1942
Office & Administrative Support Occupations,,1,White only,High School,23,10831,1127684,10831
Office & Administrative Support Occupations,,1,White only,Some College,23,15108,1566080,15108
Office & Administrative Support Occupations,,1,White only,Bachelors Degree or more,23,9632,952588,9632
Office & Administrative Support Occupations,,1,Black/African American only,Less than High School,23,338,41917,338
Office & Administrative Support Occupations,,1,Black/African American only,High School,23,1815,249281,1815
Office & Administrative Support Occupations,,1,Black/African American only,Some College,23,2622,350662,2622
Office & Administrative Support Occupations,,1,Black/African American only,Bachelors Degree or more,23,969,121621,969
Office & Administrative Support Occupations,,1,Asian only,Less than High School,23,202,20711,202
Office & Administrative Support Occupations,,1,Asian only,High School,23,456,51222,456
Office & Administrative Support Occupations,,1,Asian only,Some College,23,998,104299,998
Office & Administrative Support Occupations,,1,Asian only,Bachelors Degree or more,23,1057,106478,1057
Office & Administrative Support Occupations,,1,Some other race(s),Less than High School,23,480,59628,480
Office & Administrative Support Occupations,,1,Some other race(s),High School,23,1129,133359,1129
Office & Administrative Support Occupations,,1,Some other race(s),Some College,23,1527,178598,1527
Office & Administrative Support Occupations,,1,Some other race(s),Bachelors Degree or more,23,453,51982,453
"Farming, Fishing, & Forestry Occupations",,0,White only,Less than High School,23,581,72672,581
"Farming, Fishing, & Forestry Occupations",,0,White only,High School,23,369,35244,369
"Farming, Fishing, & Forestry Occupations",,0,White only,Some College,23,319,27768,319
"Farming, Fishing, & Forestry Occupations",,0,White only,Bachelors Degree or more,23,158,14802,158
"Farming, Fishing, & Forestry Occupations",,0,Black/African American only,Less than High School,23,26,3061,26
"Farming, Fishing, & Forestry Occupations",,0,Black/African American only,High School,23,37,3966,37
"Farming, Fishing, & Forestry Occupations",,0,Black/African American only,Some College,23,15,1555,15
"Farming, Fishing, & Forestry Occupations",,0,Black/African American only,Bachelors Degree or more,23,6,684,6
"Farming, Fishing, & Forestry Occupations",,0,Asian only,Less than High School,23,19,2319,19
"Farming, Fishing, & Forestry Occupations",,0,Asian only,High School,23,11,1032,11
"Farming, Fishing, & Forestry Occupations",,0,Asian only,Some College,23,4,332,4
"Farming, Fishing, & Forestry Occupations",,0,Asian only,Bachelors Degree or more,23,6,601,6
"Farming, Fishing, & Forestry Occupations",,0,Some other race(s),Less than High School,23,239,25246,239
"Farming, Fishing, & Forestry Occupations",,0,Some other race(s),High School,23,65,7931,65
"Farming, Fishing, & Forestry Occupations",,0,Some other race(s),Some College,23,27,3199,27
"Farming, Fishing, & Forestry Occupations",,0,Some other race(s),Bachelors Degree or more,23,11,1301,11
"Farming, Fishing, & Forestry Occupations",,1,White only,Less than High School,23,2260,253143,2260
"Farming, Fishing, & Forestry Occupations",,1,White only,High School,23,2235,205452,2235
"Farming, Fishing, & Forestry Occupations",,1,White only,Some College,23,1185,111090,1185
"Farming, Fishing, & Forestry Occupations",,1,White only,Bachelors Degree or more,23,391,32404,391
"Farming, Fishing, & Forestry Occupations",,1,Black/African American only,Less than High School,23,144,14384,144
"Farming, Fishing, & Forestry Occupations",,1,Black/African American only,High School,23,121,14220,121
"Farming, Fishing, & Forestry Occupations",,1,Black/African American only,Some College,23,42,4658,42
"Farming, Fishing, & Forestry Occupations",,1,Black/African American only,Bachelors Degree or more,23,9,1120,9
"Farming, Fishing, & Forestry Occupations",,1,Asian only,Less than High School,23,30,3232,30
"Farming, Fishing, & Forestry Occupations",,1,Asian only,High School,23,25,2426,25
"Farming, Fishing, & Forestry Occupations",,1,Asian only,Some College,23,14,1471,14
"Farming, Fishing, & Forestry Occupations",,1,Asian only,Bachelors Degree or more,23,17,1185,17
"Farming, Fishing, & Forestry Occupations",,1,Some other race(s),Less than High School,23,874,99722,874
"Farming, Fishing, & Forestry Occupations",,1,Some other race(s),High School,23,262,28101,262
"Farming, Fishing, & Forestry Occupations",,1,Some other race(s),Some College,23,117,11952,117
"Farming, Fishing, & Forestry Occupations",,1,Some other race(s),Bachelors Degree or more,23,30,3442,30
Construction & Extraction Occupations,,0,White only,Less than High School,23,166,20307,166
Construction & Extraction Occupations,,0,White only,High School,23,506,54292,506
Construction & Extraction Occupations,,0,White only,Some College,23,520,54345,520
Construction & Extraction Occupations,,0,White only,Bachelors Degree or more,23,227,23938,227
Construction & Extraction Occupations,,0,Black/African American only,Less than High School,23,19,2293,19
Construction & Extraction Occupations,,0,Black/African American only,High School,23,45,6639,45
Construction & Extraction Occupations,,0,Black/African American only,Some College,23,55,6414,55
Construction & Extraction Occupations,,0,Black/African American only,Bachelors Degree or more,23,12,1188,12
Construction & Extraction Occupations,,0,Asian only,Less than High School,23,9,773,9
Construction & Extraction Occupations,,0,Asian only,High School,23,7,812,7
Construction & Extraction Occupations,,0,Asian only,Some College,23,15,2452,15
Construction & Extraction Occupations,,0,Asian only,Bachelors Degree or more,23,9,668,9
Construction & Extraction Occupations,,0,Some other race(s),Less than High School,23,42,5126,42
Construction & Extraction Occupations,,0,Some other race(s),High School,23,51,4875,51
Construction & Extraction Occupations,,0,Some other race(s),Some College,23,69,9549,69
Construction & Extraction Occupations,,0,Some other race(s),Bachelors Degree or more,23,13,1567,13
Construction & Extraction Occupations,,1,White only,Less than High School,23,9648,1197202,9648
Construction & Extraction Occupations,,1,White only,High School,23,23538,2488311,23538
Construction & Extraction Occupations,,1,White only,Some College,23,15774,1598095,15774
Construction & Extraction Occupations,,1,White only,Bachelors Degree or more,23,3517,352195,3517
Construction & Extraction Occupations,,1,Black/African American only,Less than High School,23,556,64434,556
Construction & Extraction Occupations,,1,Black/African American only,High School,23,1370,195063,1370
Construction & Extraction Occupations,,1,Black/African American only,Some College,23,951,130295,951
Construction & Extraction Occupations,,1,Black/African American only,Bachelors Degree or more,23,150,18010,150
Construction & Extraction Occupations,,1,Asian only,Less than High School,23,163,19216,163
Construction & Extraction Occupations,,1,Asian only,High School,23,228,29023,228
Construction & Extraction Occupations,,1,Asian only,Some College,23,258,31093,258
Construction & Extraction Occupations,,1,Asian only,Bachelors Degree or more,23,125,13693,125
Construction & Extraction Occupations,,1,Some other race(s),Less than High School,23,2836,411440,2836
Construction & Extraction Occupations,,1,Some other race(s),High School,23,2286,302307,2286
Construction & Extraction Occupations,,1,Some other race(s),Some College,23,1249,153983,1249
Construction & Extraction Occupations,,1,Some other race(s),Bachelors Degree or more,23,217,26092,217
"Installation, Maintenance, & Repair Occupations",,0,White only,Less than High School,23,89,10606,89
