MajorOcc,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
,0,0,,Bachelors Degree or more,13,233964,23008887,233964
,0,1,,Less than High School,13,61740,7443588,61740
,0,1,,High School,13,178376,19302701,178376
,0,1,,Some College,13,208260,22046491,208260
,0,1,,Bachelors Degree or more,13,230787,22994470,230787
,1,0,,Less than High School,13,4536,449355,4536
,1,0,,High School,13,11594,1090066,11594
,1,0,,Some College,13,14396,1391233,14396
,1,0,,Bachelors Degree or more,13,8771,811361,8771
,1,1,,Less than High School,13,6657,665236,6657
,1,1,,High School,13,15033,1425532,15033
,1,1,,Some College,13,14947,1438178,14947
,1,1,,Bachelors Degree or more,13,10304,941372,10304
,0,0,White only,,14,491796,48286010,491796
,0,0,Black/African American only,,14,64721,8207543,64721
,0,0,Asian only,,14,34756,3675288,34756
,0,0,Some other race(s),,14,38729,4458563,38729
,0,1,White only,,14,544375,55166739,544375
,0,1,Black/African American only,,14,52098,6925863,52098
,0,1,Asian only,,14,36735,3980064,36735
,0,1,Some other race(s),,14,45955,5714584,45955
,1,0,White only,,14,30262,2806397,30262
,1,0,Black/African American only,,14,5142,548024,5142
,1,0,Asian only,,14,1116,106956,1116
,1,0,Some other race(s),,14,2777,280638,2777
,1,1,White only,,14,38744,3599973,38744
,1,1,Black/African American only,,14,3888,423827,3888
,1,1,Asian only,,14,1202,119007,1202
,1,1,Some other race(s),,14,3107,327511,3107
,0,0,White only,Less than High School,15,22959,2593551,22959
,0,0,White only,High School,15,109132,10828896,109132
,0,0,White only,Some College,15,171739,16977753,171739
,0,0,White only,Bachelors Degree or more,15,187966,17885810,187966
,0,0,Black/African American only,Less than High School,15,4484,550104,4484
,0,0,Black/African American only,High School,15,15875,2048529,15875
,0,0,Black/African American only,Some College,15,26430,3440205,26430
,0,0,Black/African American only,Bachelors Degree or more,15,17932,2168705,17932
,0,0,Asian only,Less than High School,15,3005,312926,3005
,0,0,Asian only,High School,15,4512,507933,4512
