FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
33,,1,5,0.5215482542,354379,679475,6632,NH
34,,0,5,0.3667583562,427067,1164437,11455,NJ
34,,1,5,0.5240300684,2290308,4370566,42241,NJ
35,,0,5,0.4002834456,141503,353507,3399,NM
35,,1,5,0.5314099923,477254,898090,7888,NM
36,,0,5,0.3936092207,1167528,2966211,29669,NY
36,,1,5,0.5162645972,4910793,9512163,91004,NY
37,,0,5,0.3785964484,551665,1457132,14879,NC
37,,1,5,0.5192638146,2406605,4634648,43499,NC
38,,0,5,0.3937402437,30016,76233,853,ND
38,,1,5,0.5476106669,208471,380692,3490,ND
39,,0,5,0.4005983784,649523,1621382,16725,OH
39,,1,5,0.5171722555,2826064,5464454,53821,OH
40,,0,5,0.3458727997,200361,579291,5857,OK
40,,1,5,0.541296926,939882,1736352,15540,OK
41,,0,5,0.3986138523,235692,591279,5902,OR
41,,1,5,0.5262363298,975278,1853308,17541,OR
42,,0,5,0.4009859686,716104,1785858,17994,PA
42,,1,5,0.5173518524,3142331,6073876,58909,PA
44,,0,5,0.409127296,55708,136163,1396,RI
44,,1,5,0.5118375814,274369,536047,5304,RI
45,,0,5,0.3816703734,281788,738302,7473,SC
45,,1,5,0.5167364982,1131053,2188839,20392,SC
46,,0,5,0.4433089695,39302,88656,913,SD
46,,1,5,0.5219394518,218523,418675,3987,SD
47,,0,5,0.3728515931,379007,1016509,10465,TN
47,,1,5,0.5258512136,1570177,2985972,28461,TN
48,,0,5,0.3250665183,1233081,3793319,36782,TX
48,,1,5,0.5455289959,6751876,12376750,112890,TX
49,,0,5,0.297597578,114026,383155,3866,UT
49,,1,5,0.5598830981,740049,1321792,12456,UT
50,,0,5,0.4263746398,36988,86750,883,VT
50,,1,5,0.5108609999,158183,309640,3106,VT
51,,0,5,0.3662994919,408158,1114274,11363,VA
51,,1,5,0.5242657268,2152331,4105420,39666,VA
53,,0,5,0.3761994779,381303,1013566,10091,WA
53,,1,5,0.5404597483,1825873,3378370,31864,WA
54,,0,5,0.3968272157,141982,357793,3481,WV
54,,1,5,0.5424538943,420820,775771,7307,WV
55,,0,5,0.4052793225,268271,661941,6818,WI
55,,1,5,0.52023324,1500477,2884239,28092,WI
