FIPS,Dis1,LaborForce,raceX,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
2,,0,Native American only,11,407,18304,87632,924,0.208873471,AK
2,,0,Asian only,11,19,2881,87632,924,0.032876118,AK
2,,0,Some other race(s),11,45,3687,87632,924,0.042073672,AK
2,,1,White only,11,1852,271400,386469,3135,0.70225555,AK
2,,1,Black/African American only,11,76,13496,386469,3135,0.0349213,AK
2,,1,Native American only,11,840,42825,386469,3135,0.110810958,AK
2,,1,Asian only,11,145,20297,386469,3135,0.05251909,AK
2,,1,Some other race(s),11,222,38451,386469,3135,0.099493103,AK
2,0,,White only,13,2063,300579,428122,3630,0.702087256,AK
2,0,,Black/African American only,13,82,13220,428122,3630,0.030879049,AK
2,0,,Native American only,13,1095,53884,428122,3630,0.12586132,AK
2,0,,Asian only,13,153,21735,428122,3630,0.050768239,AK
2,0,,Some other race(s),13,237,38704,428122,3630,0.090404137,AK
2,0,0,White only,15,345,47026,69470,731,0.676925292,AK
2,0,0,Black/African American only,15,14,2061,69470,731,0.029667482,AK
2,0,0,Native American only,15,319,14406,69470,731,0.207370088,AK
2,0,0,Asian only,15,18,2825,69470,731,0.040665035,AK
2,0,0,Some other race(s),15,35,3152,69470,731,0.045372103,AK
2,0,1,White only,15,1718,253553,358652,2899,0.706961065,AK
2,0,1,Black/African American only,15,68,11159,358652,2899,0.031113726,AK
2,0,1,Native American only,15,776,39478,358652,2899,0.110073274,AK
2,0,1,Asian only,15,135,18910,358652,2899,0.052725204,AK
2,0,1,Some other race(s),15,202,35552,358652,2899,0.09912673,AK
2,1,,White only,13,225,30891,45979,429,0.671850193,AK
2,1,,Black/African American only,13,11,2966,45979,429,0.06450771,AK
2,1,,Native American only,13,152,7245,45979,429,0.157571935,AK
2,1,,Asian only,13,11,1443,45979,429,0.031383893,AK
2,1,,Some other race(s),13,30,3434,45979,429,0.07468627,AK
2,1,0,White only,15,91,13044,18162,193,0.718202841,AK
2,1,0,Black/African American only,15,3,629,18162,193,0.03463275,AK
2,1,0,Native American only,15,88,3898,18162,193,0.21462394,AK
2,1,0,Asian only,15,1,56,18162,193,0.003083361,AK
2,1,0,Some other race(s),15,10,535,18162,193,0.029457108,AK
2,1,1,White only,15,134,17847,27817,236,0.641586081,AK
2,1,1,Black/African American only,15,8,2337,27817,236,0.084013373,AK
2,1,1,Native American only,15,64,3347,27817,236,0.120322105,AK
2,1,1,Asian only,15,10,1387,27817,236,0.049861595,AK
2,1,1,Some other race(s),15,20,2899,27817,236,0.104216846,AK
4,,,White only,9,28905,3081622,3919581,37677,0.786212098,AZ
4,,,Black/African American only,9,1386,175201,3919581,37677,0.04469891,AZ
4,,,Native American only,9,2909,170874,3919581,37677,0.043594966,AZ
4,,,Asian only,9,1333,136251,3919581,37677,0.034761624,AZ
4,,,Some other race(s),9,3144,355633,3919581,37677,0.090732402,AZ
4,,0,White only,11,7459,790337,1029883,10213,0.767404647,AZ
4,,0,Black/African American only,11,381,46432,1029883,10213,0.045084733,AZ
4,,0,Native American only,11,1215,66874,1029883,10213,0.06493359,AZ
4,,0,Asian only,11,341,35372,1029883,10213,0.034345649,AZ
4,,0,Some other race(s),11,817,90868,1029883,10213,0.088231382,AZ
4,,1,White only,11,21446,2291285,2889698,27464,0.792915038,AZ
4,,1,Black/African American only,11,1005,128769,2889698,27464,0.044561404,AZ
4,,1,Native American only,11,1694,104000,2889698,27464,0.03598992,AZ
4,,1,Asian only,11,992,100879,2889698,27464,0.034909876,AZ
4,,1,Some other race(s),11,2327,264765,2889698,27464,0.091623761,AZ
4,0,,White only,13,25906,2781970,3531372,33592,0.787787296,AZ
4,0,,Black/African American only,13,1183,154553,3531372,33592,0.043765709,AZ
4,0,,Native American only,13,2441,145562,3531372,33592,0.041219673,AZ
4,0,,Asian only,13,1257,129408,3531372,33592,0.036645247,AZ
4,0,,Some other race(s),13,2805,319879,3531372,33592,0.090582074,AZ
