FIPS,Dis1,LaborForce,raceX,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
11,,,Asian only,9,197,18960,456878,4533,0.041499044,DC
11,,,Some other race(s),9,212,29681,456878,4533,0.064964827,DC
11,,0,White only,11,350,28850,100944,1021,0.285802029,DC
11,,0,Black/African American only,11,569,59981,100944,1021,0.594200745,DC
11,,0,Native American only,11,1,67,100944,1021,0.000663734,DC
11,,0,Asian only,11,48,4513,100944,1021,0.044707957,DC
11,,0,Some other race(s),11,53,7533,100944,1021,0.074625535,DC
11,,1,White only,11,1899,179297,355934,3512,0.503736648,DC
11,,1,Black/African American only,11,1298,139488,355934,3512,0.391892879,DC
11,,1,Native American only,11,7,554,355934,3512,0.001556468,DC
11,,1,Asian only,11,149,14447,355934,3512,0.040588986,DC
11,,1,Some other race(s),11,159,22148,355934,3512,0.062225019,DC
11,0,,White only,13,2172,201640,416715,4114,0.48387987,DC
11,0,,Black/African American only,13,1549,168260,416715,4114,0.403777162,DC
11,0,,Native American only,13,7,554,416715,4114,0.001329446,DC
11,0,,Asian only,13,192,18740,416715,4114,0.044970783,DC
11,0,,Some other race(s),13,194,27521,416715,4114,0.066042739,DC
11,0,0,White only,15,321,26240,77385,778,0.339083802,DC
11,0,0,Black/African American only,15,370,40646,77385,778,0.52524391,DC
11,0,0,Asian only,15,45,4357,77385,778,0.056302901,DC
11,0,0,Some other race(s),15,42,6142,77385,778,0.079369387,DC
11,0,1,White only,15,1851,175400,339330,3336,0.516900952,DC
11,0,1,Black/African American only,15,1179,127614,339330,3336,0.376076386,DC
11,0,1,Native American only,15,7,554,339330,3336,0.001632629,DC
11,0,1,Asian only,15,147,14383,339330,3336,0.042386468,DC
11,0,1,Some other race(s),15,152,21379,339330,3336,0.063003566,DC
11,1,,White only,13,77,6507,40163,419,0.16201479,DC
11,1,,Black/African American only,13,318,31209,40163,419,0.777058487,DC
11,1,,Native American only,13,1,67,40163,419,0.001668202,DC
11,1,,Asian only,13,5,220,40163,419,0.005477679,DC
11,1,,Some other race(s),13,18,2160,40163,419,0.053780843,DC
11,1,0,White only,15,29,2610,23559,243,0.110785687,DC
11,1,0,Black/African American only,15,199,19335,23559,243,0.820705463,DC
11,1,0,Native American only,15,1,67,23559,243,0.002843924,DC
11,1,0,Asian only,15,3,156,23559,243,0.006621673,DC
11,1,0,Some other race(s),15,11,1391,23559,243,0.059043253,DC
11,1,1,White only,15,48,3897,16604,176,0.234702481,DC
11,1,1,Black/African American only,15,119,11874,16604,176,0.715128885,DC
11,1,1,Asian only,15,2,64,16604,176,0.003854493,DC
11,1,1,Some other race(s),15,7,769,16604,176,0.046314141,DC
12,,,White only,9,85886,8838939,11708675,109898,0.754905145,FL
12,,,Black/African American only,9,15613,1924057,11708675,109898,0.164327475,FL
12,,,Native American only,9,396,35180,11708675,109898,0.00300461,FL
12,,,Asian only,9,3345,348379,11708675,109898,0.029753922,FL
12,,,Some other race(s),9,4658,562120,11708675,109898,0.048008848,FL
12,,0,White only,11,21515,2176457,2895055,27806,0.751784336,FL
12,,0,Black/African American only,11,4185,488958,2895055,27806,0.168894201,FL
12,,0,Native American only,11,133,10544,2895055,27806,0.003642072,FL
12,,0,Asian only,11,886,95622,2895055,27806,0.033029424,FL
12,,0,Some other race(s),11,1087,123474,2895055,27806,0.042649967,FL
12,,1,White only,11,64371,6662482,8813620,82092,0.755930253,FL
12,,1,Black/African American only,11,11428,1435099,8813620,82092,0.162827419,FL
12,,1,Native American only,11,263,24636,8813620,82092,0.002795219,FL
12,,1,Asian only,11,2459,252757,8813620,82092,0.028678001,FL
12,,1,Some other race(s),11,3571,438646,8813620,82092,0.049769107,FL
12,0,,White only,13,76561,7926645,10509543,97771,0.754233081,FL
12,0,,Black/African American only,13,13598,1711544,10509543,97771,0.162856178,FL
12,0,,Native American only,13,307,28050,10509543,97771,0.002669003,FL
12,0,,Asian only,13,3161,332578,10509543,97771,0.031645334,FL
12,0,,Some other race(s),13,4144,510726,10509543,97771,0.048596404,FL
12,0,0,White only,15,15868,1615517,2155408,20417,0.749517957,FL
12,0,0,Black/African American only,15,2859,350618,2155408,20417,0.16266897,FL
12,0,0,Native American only,15,86,6742,2155408,20417,0.003127946,FL
12,0,0,Asian only,15,784,86498,2155408,20417,0.040130685,FL
12,0,0,Some other race(s),15,820,96033,2155408,20417,0.044554442,FL
12,0,1,White only,15,60693,6311128,8354135,77354,0.755449607,FL
12,0,1,Black/African American only,15,10739,1360926,8354135,77354,0.162904478,FL
12,0,1,Native American only,15,221,21308,8354135,77354,0.002550593,FL
12,0,1,Asian only,15,2377,246080,8354135,77354,0.029456072,FL
12,0,1,Some other race(s),15,3324,414693,8354135,77354,0.049639251,FL
12,1,,White only,13,9325,912294,1199132,12127,0.760795309,FL
12,1,,Black/African American only,13,2015,212513,1199132,12127,0.177222358,FL
12,1,,Native American only,13,89,7130,1199132,12127,0.005945968,FL
12,1,,Asian only,13,184,15801,1199132,12127,0.013177031,FL
12,1,,Some other race(s),13,514,51394,1199132,12127,0.042859335,FL
12,1,0,White only,15,5647,560940,739647,7389,0.758388799,FL
12,1,0,Black/African American only,15,1326,138340,739647,7389,0.187035167,FL
12,1,0,Native American only,15,47,3802,739647,7389,0.00514029,FL
12,1,0,Asian only,15,102,9124,739647,7389,0.012335614,FL
12,1,0,Some other race(s),15,267,27441,739647,7389,0.03710013,FL
12,1,1,White only,15,3678,351354,459485,4738,0.764669141,FL
12,1,1,Black/African American only,15,689,74173,459485,4738,0.16142638,FL
12,1,1,Native American only,15,42,3328,459485,4738,0.007242892,FL
12,1,1,Asian only,15,82,6677,459485,4738,0.014531486,FL
12,1,1,Some other race(s),15,247,23953,459485,4738,0.052130102,FL
13,,,White only,9,37877,3751017,6200668,57721,0.604937565,GA
13,,,Black/African American only,9,15579,1938604,6200668,57721,0.31264438,GA
13,,,Native American only,9,123,12695,6200668,57721,0.00204736,GA
13,,,Asian only,9,2293,245929,6200668,57721,0.039661695,GA
13,,,Some other race(s),9,1849,252423,6200668,57721,0.040709001,GA
13,,0,White only,11,9450,915394,1537500,14839,0.595378211,GA
13,,0,Black/African American only,11,4257,487559,1537500,14839,0.317111545,GA
13,,0,Native American only,11,32,3172,1537500,14839,0.002063089,GA
13,,0,Asian only,11,645,71227,1537500,14839,0.046326504,GA
13,,0,Some other race(s),11,455,60148,1537500,14839,0.03912065,GA
13,,1,White only,11,28427,2835623,4663168,42882,0.608089393,GA
13,,1,Black/African American only,11,11322,1451045,4663168,42882,0.311171504,GA
13,,1,Native American only,11,91,9523,4663168,42882,0.002042174,GA
13,,1,Asian only,11,1648,174702,4663168,42882,0.03746423,GA
13,,1,Some other race(s),11,1394,192275,4663168,42882,0.041232699,GA
13,0,,White only,13,33664,3355266,5525458,50891,0.607237626,GA
13,0,,Black/African American only,13,13265,1691616,5525458,50891,0.306149463,GA
13,0,,Native American only,13,90,9305,5525458,50891,0.001684023,GA
13,0,,Asian only,13,2199,235829,5525458,50891,0.042680444,GA
13,0,,Some other race(s),13,1673,233442,5525458,50891,0.042248444,GA
13,0,0,White only,15,6920,682557,1134157,10687,0.601818796,GA
13,0,0,Black/African American only,15,2778,331747,1134157,10687,0.292505359,GA
13,0,0,Native American only,15,18,1949,1134157,10687,0.001718457,GA
13,0,0,Asian only,15,602,66345,1134157,10687,0.058497192,GA
13,0,0,Some other race(s),15,369,51559,1134157,10687,0.045460196,GA
13,0,1,White only,15,26744,2672709,4391301,40204,0.608637167,GA
13,0,1,Black/African American only,15,10487,1359869,4391301,40204,0.309673375,GA
13,0,1,Native American only,15,72,7356,4391301,40204,0.00167513,GA
13,0,1,Asian only,15,1597,169484,4391301,40204,0.038595396,GA
13,0,1,Some other race(s),15,1304,181883,4391301,40204,0.041418933,GA
13,1,,White only,13,4213,395751,675210,6830,0.586115431,GA
13,1,,Black/African American only,13,2314,246988,675210,6830,0.365794346,GA
13,1,,Native American only,13,33,3390,675210,6830,0.00502066,GA
13,1,,Asian only,13,94,10100,675210,6830,0.014958309,GA
13,1,,Some other race(s),13,176,18981,675210,6830,0.028111254,GA
13,1,0,White only,15,2530,232837,403343,4152,0.577267983,GA
13,1,0,Black/African American only,15,1479,155812,403343,4152,0.386301485,GA
13,1,0,Native American only,15,14,1223,403343,4152,0.003032159,GA
13,1,0,Asian only,15,43,4882,403343,4152,0.012103842,GA
13,1,0,Some other race(s),15,86,8589,403343,4152,0.021294531,GA
13,1,1,White only,15,1683,162914,271867,2678,0.599241541,GA
13,1,1,Black/African American only,15,835,91176,271867,2678,0.335369868,GA
13,1,1,Native American only,15,19,2167,271867,2678,0.007970809,GA
13,1,1,Asian only,15,51,5218,271867,2678,0.019193208,GA
13,1,1,Some other race(s),15,90,10392,271867,2678,0.038224573,GA
15,,,White only,9,2347,245901,870252,8598,0.282562982,HI
15,,,Black/African American only,9,195,23331,870252,8598,0.026809476,HI
15,,,Native American only,9,18,1465,870252,8598,0.00168342,HI
15,,,Asian only,9,3161,325901,870252,8598,0.374490378,HI
15,,,Some other race(s),9,2877,273654,870252,8598,0.314453744,HI
15,,0,White only,11,534,49136,182679,1922,0.26897454,HI
15,,0,Black/African American only,11,46,4299,182679,1922,0.023533083,HI
15,,0,Native American only,11,7,538,182679,1922,0.002945057,HI
15,,0,Asian only,11,625,62888,182679,1922,0.344254129,HI
15,,0,Some other race(s),11,710,65818,182679,1922,0.360293192,HI
15,,1,White only,11,1813,196765,687573,6676,0.28617325,HI
15,,1,Black/African American only,11,149,19032,687573,6676,0.02767997,HI
15,,1,Native American only,11,11,927,687573,6676,0.001348221,HI
15,,1,Asian only,11,2536,263013,687573,6676,0.382523747,HI
15,,1,Some other race(s),11,2167,207836,687573,6676,0.302274813,HI
15,0,,White only,13,2169,228777,804599,7939,0.28433667,HI
15,0,,Black/African American only,13,180,21842,804599,7939,0.027146442,HI
15,0,,Native American only,13,16,1288,804599,7939,0.001600797,HI
15,0,,Asian only,13,2953,303408,804599,7939,0.377092191,HI
15,0,,Some other race(s),13,2621,249284,804599,7939,0.3098239,HI
15,0,0,White only,15,448,40930,147384,1568,0.277709928,HI
15,0,0,Black/African American only,15,35,3462,147384,1568,0.02348966,HI
15,0,0,Native American only,15,6,479,147384,1568,0.003250014,HI
15,0,0,Asian only,15,528,52045,147384,1568,0.35312517,HI
15,0,0,Some other race(s),15,551,50468,147384,1568,0.342425229,HI
15,0,1,White only,15,1721,187847,657215,6371,0.285822752,HI
15,0,1,Black/African American only,15,145,18380,657215,6371,0.027966495,HI
15,0,1,Native American only,15,10,809,657215,6371,0.001230952,HI
15,0,1,Asian only,15,2425,251363,657215,6371,0.382466925,HI
15,0,1,Some other race(s),15,2070,198816,657215,6371,0.302512876,HI
15,1,,White only,13,178,17124,65653,659,0.260825857,HI
15,1,,Black/African American only,13,15,1489,65653,659,0.022679847,HI
15,1,,Native American only,13,2,177,65653,659,0.002695993,HI
15,1,,Asian only,13,208,22493,65653,659,0.342604298,HI
15,1,,Some other race(s),13,256,24370,65653,659,0.371194005,HI
15,1,0,White only,15,86,8206,35295,354,0.232497521,HI
15,1,0,Black/African American only,15,11,837,35295,354,0.023714407,HI
15,1,0,Native American only,15,1,59,35295,354,0.001671625,HI
15,1,0,Asian only,15,97,10843,35295,354,0.307210653,HI
15,1,0,Some other race(s),15,159,15350,35295,354,0.434905794,HI
15,1,1,White only,15,92,8918,30358,305,0.293761117,HI
15,1,1,Black/African American only,15,4,652,30358,305,0.021477041,HI
15,1,1,Native American only,15,1,118,30358,305,0.003886949,HI
15,1,1,Asian only,15,111,11650,30358,305,0.383753871,HI
15,1,1,Some other race(s),15,97,9020,30358,305,0.297121023,HI
16,,,White only,9,8215,869936,950127,8971,0.915599704,ID
16,,,Black/African American only,9,40,5014,950127,8971,0.005277189,ID
16,,,Native American only,9,173,11471,950127,8971,0.012073123,ID
16,,,Asian only,9,120,17570,950127,8971,0.018492265,ID
16,,,Some other race(s),9,423,46136,950127,8971,0.048557719,ID
16,,0,White only,11,2000,197624,221391,2232,0.892646946,ID
16,,0,Black/African American only,11,12,2168,221391,2232,0.009792629,ID
16,,0,Native American only,11,67,4606,221391,2232,0.02080482,ID
16,,0,Asian only,11,30,4662,221391,2232,0.021057767,ID
16,,0,Some other race(s),11,123,12331,221391,2232,0.055697838,ID
16,,1,White only,11,6215,672312,728736,6739,0.922572784,ID
16,,1,Black/African American only,11,28,2846,728736,6739,0.003905392,ID
16,,1,Native American only,11,106,6865,728736,6739,0.009420421,ID
16,,1,Asian only,11,90,12908,728736,6739,0.017712862,ID
16,,1,Some other race(s),11,300,33805,728736,6739,0.046388541,ID
16,0,,White only,13,7189,774849,844372,7834,0.917663068,ID
16,0,,Black/African American only,13,36,3763,844372,7834,0.004456567,ID
16,0,,Native American only,13,133,8447,844372,7834,0.010003885,ID
16,0,,Asian only,13,111,16083,844372,7834,0.019047292,ID
16,0,,Some other race(s),13,365,41230,844372,7834,0.048829189,ID
16,0,0,White only,15,1431,146664,163526,1594,0.896884899,ID
16,0,0,Black/African American only,15,8,917,163526,1594,0.005607671,ID
16,0,0,Native American only,15,38,2544,163526,1594,0.015557159,ID
16,0,0,Asian only,15,25,3816,163526,1594,0.023335739,ID
16,0,0,Some other race(s),15,92,9585,163526,1594,0.058614532,ID
16,0,1,White only,15,5758,628185,680846,6240,0.922653581,ID
16,0,1,Black/African American only,15,28,2846,680846,6240,0.004180094,ID
16,0,1,Native American only,15,95,5903,680846,6240,0.008670096,ID
16,0,1,Asian only,15,86,12267,680846,6240,0.01801729,ID
16,0,1,Some other race(s),15,273,31645,680846,6240,0.046478939,ID
16,1,,White only,13,1026,95087,105755,1137,0.899125337,ID
16,1,,Black/African American only,13,4,1251,105755,1137,0.011829228,ID
16,1,,Native American only,13,40,3024,105755,1137,0.028594393,ID
16,1,,Asian only,13,9,1487,105755,1137,0.014060801,ID
16,1,,Some other race(s),13,58,4906,105755,1137,0.046390242,ID
16,1,0,White only,15,569,50960,57865,638,0.880670526,ID
16,1,0,Black/African American only,15,4,1251,57865,638,0.021619286,ID
16,1,0,Native American only,15,29,2062,57865,638,0.035634667,ID
16,1,0,Asian only,15,5,846,57865,638,0.014620237,ID
16,1,0,Some other race(s),15,31,2746,57865,638,0.047455284,ID
16,1,1,White only,15,457,44127,47890,499,0.921424097,ID
16,1,1,Native American only,15,11,962,47890,499,0.020087701,ID
16,1,1,Asian only,15,4,641,47890,499,0.01338484,ID
16,1,1,Some other race(s),15,27,2160,47890,499,0.045103362,ID
17,,,White only,9,60868,5878162,8029912,77542,0.732033178,IL
17,,,Black/African American only,9,8470,1109945,8029912,77542,0.138226297,IL
17,,,Native American only,9,163,19232,8029912,77542,0.002395045,IL
17,,,Asian only,9,3715,435177,8029912,77542,0.054194492,IL
17,,,Some other race(s),9,4326,587396,8029912,77542,0.073150989,IL
17,,0,White only,11,12226,1141872,1684505,16649,0.677867979,IL
17,,0,Black/African American only,11,2441,304638,1684505,16649,0.180847193,IL
17,,0,Native American only,11,51,5238,1684505,16649,0.003109519,IL
17,,0,Asian only,11,946,104871,1684505,16649,0.062256271,IL
17,,0,Some other race(s),11,985,127886,1684505,16649,0.075919039,IL
17,,1,White only,11,48642,4736290,6345407,60893,0.746412326,IL
17,,1,Black/African American only,11,6029,805307,6345407,60893,0.126911796,IL
17,,1,Native American only,11,112,13994,6345407,60893,0.002205375,IL
17,,1,Asian only,11,2769,330306,6345407,60893,0.052054344,IL
17,,1,Some other race(s),11,3341,459510,6345407,60893,0.072416159,IL
17,0,,White only,13,55268,5373247,7306828,70061,0.735373407,IL
17,0,,Black/African American only,13,7134,955069,7306828,70061,0.130709112,IL
17,0,,Native American only,13,133,17021,7306828,70061,0.002329465,IL
17,0,,Asian only,13,3551,415973,7306828,70061,0.056929354,IL
17,0,,Some other race(s),13,3975,545518,7306828,70061,0.074658662,IL
17,0,0,White only,15,9203,875588,1282468,12452,0.682736723,IL
17,0,0,Black/African American only,15,1579,207260,1282468,12452,0.16161027,IL
17,0,0,Native American only,15,31,3712,1282468,12452,0.002894419,IL
17,0,0,Asian only,15,858,93474,1282468,12452,0.072886029,IL
17,0,0,Some other race(s),15,781,102434,1282468,12452,0.079872558,IL
17,0,1,White only,15,46065,4497659,6024360,57609,0.746578724,IL
17,0,1,Black/African American only,15,5555,747809,6024360,57609,0.124130862,IL
17,0,1,Native American only,15,102,13309,6024360,57609,0.002209197,IL
17,0,1,Asian only,15,2693,322499,6024360,57609,0.053532491,IL
17,0,1,Some other race(s),15,3194,443084,6024360,57609,0.073548726,IL
17,1,,White only,13,5600,504915,723084,7481,0.698279868,IL
17,1,,Black/African American only,13,1336,154876,723084,7481,0.214188117,IL
17,1,,Native American only,13,30,2211,723084,7481,0.003057736,IL
17,1,,Asian only,13,164,19204,723084,7481,0.026558464,IL
17,1,,Some other race(s),13,351,41878,723084,7481,0.057915816,IL
17,1,0,White only,15,3023,266284,402037,4197,0.662337049,IL
17,1,0,Black/African American only,15,862,97378,402037,4197,0.242211538,IL
17,1,0,Native American only,15,20,1526,402037,4197,0.003795671,IL
17,1,0,Asian only,15,88,11397,402037,4197,0.028348137,IL
17,1,0,Some other race(s),15,204,25452,402037,4197,0.063307606,IL
17,1,1,White only,15,2577,238631,321047,3284,0.743289923,IL
17,1,1,Black/African American only,15,474,57498,321047,3284,0.179095273,IL
17,1,1,Native American only,15,10,685,321047,3284,0.002133644,IL
17,1,1,Asian only,15,76,7807,321047,3284,0.024317312,IL
17,1,1,Some other race(s),15,147,16426,321047,3284,0.051163848,IL
18,,,White only,9,34723,3404160,4013119,39474,0.848257926,IN
18,,,Black/African American only,9,2725,355240,4013119,39474,0.088519678,IN
18,,,Native American only,9,98,8480,4013119,39474,0.00211307,IN
18,,,Asian only,9,752,86443,4013119,39474,0.021540104,IN
18,,,Some other race(s),9,1176,158796,4013119,39474,0.039569223,IN
18,,0,White only,11,8084,764293,934111,9515,0.818203618,IN
18,,0,Black/African American only,11,801,94683,934111,9515,0.101361616,IN
18,,0,Native American only,11,30,2990,934111,9515,0.003200904,IN
18,,0,Asian only,11,268,30312,934111,9515,0.032450105,IN
18,,0,Some other race(s),11,332,41833,934111,9515,0.044783757,IN
18,,1,White only,11,26639,2639867,3079008,29959,0.857375817,IN
18,,1,Black/African American only,11,1924,260557,3079008,29959,0.084623684,IN
18,,1,Native American only,11,68,5490,3079008,29959,0.001783042,IN
18,,1,Asian only,11,484,56131,3079008,29959,0.018230222,IN
18,,1,Some other race(s),11,844,116963,3079008,29959,0.037987235,IN
18,0,,White only,13,30310,2987077,3520355,34340,0.848515846,IN
18,0,,Black/African American only,13,2236,301665,3520355,34340,0.085691642,IN
18,0,,Native American only,13,68,5857,3520355,34340,0.001663753,IN
18,0,,Asian only,13,720,84003,3520355,34340,0.023862082,IN
18,0,,Some other race(s),13,1006,141753,3520355,34340,0.040266678,IN
18,0,0,White only,15,5497,522622,646367,6485,0.808553036,IN
18,0,0,Black/African American only,15,482,60955,646367,6485,0.09430401,IN
18,0,0,Native American only,15,11,1078,646367,6485,0.001667783,IN
18,0,0,Asian only,15,256,29144,646367,6485,0.045088936,IN
18,0,0,Some other race(s),15,239,32568,646367,6485,0.050386236,IN
18,0,1,White only,15,24813,2464455,2873988,27855,0.85750358,IN
18,0,1,Black/African American only,15,1754,240710,2873988,27855,0.083754699,IN
18,0,1,Native American only,15,57,4779,2873988,27855,0.001662846,IN
18,0,1,Asian only,15,464,54859,2873988,27855,0.01908811,IN
18,0,1,Some other race(s),15,767,109185,2873988,27855,0.037990764,IN
18,1,,White only,13,4413,417083,492764,5134,0.846415323,IN
18,1,,Black/African American only,13,489,53575,492764,5134,0.108723446,IN
18,1,,Native American only,13,30,2623,492764,5134,0.005323035,IN
18,1,,Asian only,13,32,2440,492764,5134,0.00495166,IN
18,1,,Some other race(s),13,170,17043,492764,5134,0.034586536,IN
18,1,0,White only,15,2587,241671,287744,3030,0.839881978,IN
18,1,0,Black/African American only,15,319,33728,287744,3030,0.117215303,IN
18,1,0,Native American only,15,19,1912,287744,3030,0.006644795,IN
18,1,0,Asian only,15,12,1168,287744,3030,0.004059164,IN
18,1,0,Some other race(s),15,93,9265,287744,3030,0.03219876,IN
18,1,1,White only,15,1826,175412,205020,2104,0.855584821,IN
18,1,1,Black/African American only,15,170,19847,205020,2104,0.09680519,IN
18,1,1,Native American only,15,11,711,205020,2104,0.003467954,IN
18,1,1,Asian only,15,20,1272,205020,2104,0.006204273,IN
18,1,1,Some other race(s),15,77,7778,205020,2104,0.037937762,IN
19,,,White only,9,17428,1715396,1870569,18448,0.917045028,IA
19,,,Black/African American only,9,351,60872,1870569,18448,0.03254197,IA
19,,,Native American only,9,73,6925,1870569,18448,0.003702082,IA
19,,,Asian only,9,278,43365,1870569,18448,0.023182786,IA
19,,,Some other race(s),9,318,44011,1870569,18448,0.023528135,IA
19,,0,White only,11,3133,304539,348036,3471,0.87502155,IA
19,,0,Black/African American only,11,120,18701,348036,3471,0.053732947,IA
19,,0,Native American only,11,24,1884,348036,3471,0.005413233,IA
19,,0,Asian only,11,97,12812,348036,3471,0.036812284,IA
19,,0,Some other race(s),11,97,10100,348036,3471,0.029019986,IA
19,,1,White only,11,14295,1410857,1522533,14977,0.926651179,IA
19,,1,Black/African American only,11,231,42171,1522533,14977,0.027697922,IA
19,,1,Native American only,11,49,5041,1522533,14977,0.00331093,IA
19,,1,Asian only,11,181,30553,1522533,14977,0.020067217,IA
19,,1,Some other race(s),11,221,33911,1522533,14977,0.022272752,IA
19,0,,White only,13,15672,1541479,1680445,16567,0.917304047,IA
19,0,,Black/African American only,13,289,51505,1680445,16567,0.03064962,IA
19,0,,Native American only,13,58,4998,1680445,16567,0.002974212,IA
19,0,,Asian only,13,265,42264,1680445,16567,0.025150481,IA
19,0,,Some other race(s),13,283,40199,1680445,16567,0.02392164,IA
19,0,0,White only,15,2235,218056,251930,2491,0.865542016,IA
19,0,0,Black/African American only,15,79,12715,251930,2491,0.050470369,IA
19,0,0,Native American only,15,17,942,251930,2491,0.003739134,IA
19,0,0,Asian only,15,89,12047,251930,2491,0.047818839,IA
19,0,0,Some other race(s),15,71,8170,251930,2491,0.032429643,IA
19,0,1,White only,15,13437,1323423,1428515,14076,0.926432694,IA
19,0,1,Black/African American only,15,210,38790,1428515,14076,0.027154073,IA
19,0,1,Native American only,15,41,4056,1428515,14076,0.002839312,IA
19,0,1,Asian only,15,176,30217,1428515,14076,0.021152736,IA
19,0,1,Some other race(s),15,212,32029,1428515,14076,0.022421186,IA
19,1,,White only,13,1756,173917,190124,1881,0.914755633,IA
19,1,,Black/African American only,13,62,9367,190124,1881,0.049267846,IA
19,1,,Native American only,13,15,1927,190124,1881,0.010135491,IA
19,1,,Asian only,13,13,1101,190124,1881,0.005790958,IA
19,1,,Some other race(s),13,35,3812,190124,1881,0.020050073,IA
19,1,0,White only,15,898,86483,96106,980,0.899870976,IA
19,1,0,Black/African American only,15,41,5986,96106,980,0.062285393,IA
19,1,0,Native American only,15,7,942,96106,980,0.009801677,IA
19,1,0,Asian only,15,8,765,96106,980,0.007959961,IA
19,1,0,Some other race(s),15,26,1930,96106,980,0.020081993,IA
19,1,1,White only,15,858,87434,94018,901,0.929970857,IA
19,1,1,Black/African American only,15,21,3381,94018,901,0.035961199,IA
19,1,1,Native American only,15,8,985,94018,901,0.010476717,IA
19,1,1,Asian only,15,5,336,94018,901,0.003573784,IA
19,1,1,Some other race(s),15,9,1882,94018,901,0.020017444,IA
20,,,White only,9,14950,1498796,1745869,16897,0.858481364,KS
20,,,Black/African American only,9,749,105203,1745869,16897,0.060258244,KS
20,,,Native American only,9,174,15444,1745869,16897,0.008846025,KS
20,,,Asian only,9,381,48613,1745869,16897,0.027844586,KS
20,,,Some other race(s),9,643,77813,1745869,16897,0.044569782,KS
20,,0,White only,11,3058,289328,348367,3569,0.830526428,KS
20,,0,Black/African American only,11,201,25311,348367,3569,0.072656136,KS
20,,0,Native American only,11,42,2478,348367,3569,0.007113188,KS
20,,0,Asian only,11,108,12696,348367,3569,0.036444325,KS
20,,0,Some other race(s),11,160,18554,348367,3569,0.053259924,KS
20,,1,White only,11,11892,1209468,1397502,13328,0.865449924,KS
20,,1,Black/African American only,11,548,79892,1397502,13328,0.057167718,KS
20,,1,Native American only,11,132,12966,1397502,13328,0.009277983,KS
20,,1,Asian only,11,273,35917,1397502,13328,0.025700858,KS
20,,1,Some other race(s),11,483,59259,1397502,13328,0.042403517,KS
20,0,,White only,13,13329,1349450,1567767,15006,0.860746527,KS
20,0,,Black/African American only,13,617,90387,1567767,15006,0.057653338,KS
20,0,,Native American only,13,143,12992,1567767,15006,0.008286946,KS
20,0,,Asian only,13,365,46805,1567767,15006,0.029854564,KS
20,0,,Some other race(s),13,552,68133,1567767,15006,0.043458626,KS
20,0,0,White only,15,2185,212068,255196,2542,0.831000486,KS
20,0,0,Black/African American only,15,120,15900,255196,2542,0.062305052,KS
20,0,0,Native American only,15,24,1582,255196,2542,0.006199157,KS
20,0,0,Asian only,15,103,12176,255196,2542,0.047712347,KS
20,0,0,Some other race(s),15,110,13470,255196,2542,0.052782959,KS
20,0,1,White only,15,11144,1137382,1312571,12464,0.866529887,KS
20,0,1,Black/African American only,15,497,74487,1312571,12464,0.05674893,KS
20,0,1,Native American only,15,119,11410,1312571,12464,0.008692863,KS
20,0,1,Asian only,15,262,34629,1312571,12464,0.026382573,KS
20,0,1,Some other race(s),15,442,54663,1312571,12464,0.041645747,KS
20,1,,White only,13,1621,149346,178102,1891,0.838541959,KS
20,1,,Black/African American only,13,132,14816,178102,1891,0.083188285,KS
20,1,,Native American only,13,31,2452,178102,1891,0.013767392,KS
20,1,,Asian only,13,16,1808,178102,1891,0.010151486,KS
20,1,,Some other race(s),13,91,9680,178102,1891,0.054350878,KS
20,1,0,White only,15,873,77260,93171,1027,0.829227979,KS
20,1,0,Black/African American only,15,81,9411,93171,1027,0.101007824,KS
20,1,0,Native American only,15,18,896,93171,1027,0.009616726,KS
20,1,0,Asian only,15,5,520,93171,1027,0.005581136,KS
20,1,0,Some other race(s),15,50,5084,93171,1027,0.054566335,KS
20,1,1,White only,15,748,72086,84931,864,0.848759581,KS
20,1,1,Black/African American only,15,51,5405,84931,864,0.063639896,KS
20,1,1,Native American only,15,13,1556,84931,864,0.018320755,KS
20,1,1,Asian only,15,11,1288,84931,864,0.015165252,KS
20,1,1,Some other race(s),15,41,4596,84931,864,0.054114517,KS
21,,,White only,9,24071,2383895,2703702,26671,0.881715145,KY
21,,,Black/African American only,9,1712,215639,2703702,26671,0.079756941,KY
21,,,Native American only,9,61,6234,2703702,26671,0.002305728,KY
21,,,Asian only,9,305,33077,2703702,26671,0.012233967,KY
21,,,Some other race(s),9,522,64857,2703702,26671,0.023988221,KY
21,,0,White only,11,6840,670565,747238,7571,0.89739146,KY
21,,0,Black/African American only,11,486,52291,747238,7571,0.069979043,KY
21,,0,Native American only,11,17,1559,747238,7571,0.00208635,KY
21,,0,Asian only,11,83,7944,747238,7571,0.010631151,KY
21,,0,Some other race(s),11,145,14879,747238,7571,0.019911996,KY
21,,1,White only,11,17231,1713330,1956464,19100,0.875727844,KY
21,,1,Black/African American only,11,1226,163348,1956464,19100,0.083491442,KY
21,,1,Native American only,11,44,4675,1956464,19100,0.002389515,KY
21,,1,Asian only,11,222,25133,1956464,19100,0.012846135,KY
21,,1,Some other race(s),11,377,49978,1956464,19100,0.025545065,KY
21,0,,White only,13,20303,2013954,2283978,22450,0.881774693,KY
21,0,,Black/African American only,13,1369,178243,2283978,22450,0.078040594,KY
21,0,,Native American only,13,41,4413,2283978,22450,0.001932155,KY
21,0,,Asian only,13,296,31705,2283978,22450,0.013881482,KY
