FIPS,Dis1,LaborForce,Educ,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
37,,,Bachelors Degree or more,9,17048,1635639,6091780,58378,0.2684993549,NC
37,,0,Less than High School,11,2872,327133,1457132,14879,0.224504712,NC
37,,0,High School,11,4154,411553,1457132,14879,0.2824404378,NC
37,,0,Some College,11,5212,485100,1457132,14879,0.3329142452,NC
37,,0,Bachelors Degree or more,11,2641,233346,1457132,14879,0.160140605,NC
37,,1,Less than High School,11,3595,458410,4634648,43499,0.0989093454,NC
37,,1,High School,11,10351,1139409,4634648,43499,0.245845855,NC
37,,1,Some College,11,15146,1634536,4634648,43499,0.3526774849,NC
37,,1,Bachelors Degree or more,11,14407,1402293,4634648,43499,0.3025673147,NC
37,0,,Less than High School,13,4795,613610,5383567,51099,0.1139783344,NC
37,0,,High School,13,12159,1320178,5383567,51099,0.2452236593,NC
37,0,,Some College,13,17997,1896312,5383567,51099,0.3522408099,NC
37,0,,Bachelors Degree or more,13,16148,1553467,5383567,51099,0.2885571964,NC
37,0,0,Less than High School,15,1588,197843,1020568,10342,0.1938557744,NC
37,0,0,High School,15,2645,266791,1020568,10342,0.2614142321,NC
37,0,0,Some College,15,3849,358099,1020568,10342,0.3508820578,NC
37,0,0,Bachelors Degree or more,15,2260,197835,1020568,10342,0.1938479357,NC
37,0,1,Less than High School,15,3207,415767,4362999,40757,0.0952938564,NC
37,0,1,High School,15,9514,1053387,4362999,40757,0.2414364523,NC
37,0,1,Some College,15,14148,1538213,4362999,40757,0.3525586414,NC
37,0,1,Bachelors Degree or more,15,13888,1355632,4362999,40757,0.3107110499,NC
37,1,,Less than High School,13,1672,171933,708213,7279,0.2427701835,NC
37,1,,High School,13,2346,230784,708213,7279,0.3258680651,NC
37,1,,Some College,13,2361,223324,708213,7279,0.3153345109,NC
37,1,,Bachelors Degree or more,13,900,82172,708213,7279,0.1160272404,NC
37,1,0,Less than High School,15,1284,129290,436564,4537,0.2961535995,NC
37,1,0,High School,15,1509,144762,436564,4537,0.3315939931,NC
37,1,0,Some College,15,1363,127001,436564,4537,0.290910382,NC
37,1,0,Bachelors Degree or more,15,381,35511,436564,4537,0.0813420255,NC
37,1,1,Less than High School,15,388,42643,271649,2742,0.1569783066,NC
37,1,1,High School,15,837,86022,271649,2742,0.3166659918,NC
37,1,1,Some College,15,998,96323,271649,2742,0.3545862492,NC
37,1,1,Bachelors Degree or more,15,519,46661,271649,2742,0.1717694525,NC
38,,,Less than High School,9,283,28437,456925,4343,0.0622355967,ND
38,,,High School,9,1113,108388,456925,4343,0.2372117962,ND
38,,,Some College,9,1849,197097,456925,4343,0.4313552552,ND
38,,,Bachelors Degree or more,9,1098,123003,456925,4343,0.2691973519,ND
38,,0,Less than High School,11,133,13024,76233,853,0.1708446473,ND
38,,0,High School,11,247,20348,76233,853,0.2669185261,ND
38,,0,Some College,11,351,31416,76233,853,0.4121049939,ND
38,,0,Bachelors Degree or more,11,122,11445,76233,853,0.1501318327,ND
38,,1,Less than High School,11,150,15413,380692,3490,0.0404867977,ND
38,,1,High School,11,866,88040,380692,3490,0.2312630683,ND
38,,1,Some College,11,1498,165681,380692,3490,0.4352100911,ND
38,,1,Bachelors Degree or more,11,976,111558,380692,3490,0.2930400429,ND
38,0,,Less than High School,13,228,22157,421470,3979,0.0525707642,ND
38,0,,High School,13,995,97999,421470,3979,0.2325171424,ND
