FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
34,,0,5,0.1955889413,227751,1164437,11455,NJ
34,,1,5,0.1916358202,837557,4370566,42241,NJ
35,,0,5,0.4502371947,159162,353507,3399,NM
35,,1,5,0.4628578428,415688,898090,7888,NM
36,,0,5,0.2018565099,598749,2966211,29669,NY
36,,1,5,0.1779862267,1693034,9512163,91004,NY
37,,0,5,0.0742897692,108250,1457132,14879,NC
37,,1,5,0.0857014384,397196,4634648,43499,NC
38,,0,5,0.0364146761,2776,76233,853,ND
38,,1,5,0.0228058378,8682,380692,3490,ND
39,,0,5,0.0300256201,48683,1621382,16725,OH
39,,1,5,0.0314168625,171676,5464454,53821,OH
40,,0,5,0.0849106926,49188,579291,5857,OK
40,,1,5,0.0915004561,158877,1736352,15540,OK
41,,0,5,0.0867035697,51266,591279,5902,OR
41,,1,5,0.1233793843,228660,1853308,17541,OR
42,,0,5,0.0783074578,139846,1785858,17994,PA
42,,1,5,0.0543379549,330042,6073876,58909,PA
44,,0,5,0.1414628056,19262,136163,1396,RI
44,,1,5,0.1290931579,69200,536047,5304,RI
45,,0,5,0.0407299452,30071,738302,7473,SC
45,,1,5,0.0563093037,123252,2188839,20392,SC
46,,0,5,0.0204159899,1810,88656,913,SD
46,,1,5,0.0321609841,13465,418675,3987,SD
47,,0,5,0.0409420871,41618,1016509,10465,TN
47,,1,5,0.0469813515,140285,2985972,28461,TN
48,,0,5,0.3868330082,1467381,3793319,36782,TX
48,,1,5,0.363256994,4495941,12376750,112890,TX
49,,0,5,0.1226370529,46989,383155,3866,UT
49,,1,5,0.1301558793,172039,1321792,12456,UT
50,,0,5,0.0119884726,1040,86750,883,VT
50,,1,5,0.014956078,4631,309640,3106,VT
51,,0,5,0.0693312417,77254,1114274,11363,VA
51,,1,5,0.0911482869,374202,4105420,39666,VA
53,,0,5,0.0969783911,98294,1013566,10091,WA
53,,1,5,0.1118530534,377881,3378370,31864,WA
54,,0,5,0.0102880716,3681,357793,3481,WV
54,,1,5,0.0136702713,10605,775771,7307,WV
55,,0,5,0.0668881366,44276,661941,6818,WI
55,,1,5,0.0560251768,161590,2884239,28092,WI
56,,0,5,0.088526953,6142,69380,698,WY
56,,1,5,0.0799370029,23297,291442,2756,WY
1,0,,6,0.0402567152,102055,2535105,23585,AL
1,1,,6,0.0206071953,8695,421940,4431,AL
2,0,,6,0.0628932874,26926,428122,3630,AK
2,1,,6,0.0752299963,3459,45979,429,AK
4,0,,6,0.29966993,1058246,3531372,33592,AZ
4,1,,6,0.2498190408,96982,388209,4085,AZ
5,0,,6,0.0701262768,105031,1497741,14122,AR
5,1,,6,0.0312566304,8397,268647,2863,AR
6,0,,6,0.3752231112,8297252,22112849,207316,CA
6,1,,6,0.3317988384,660861,1991752,20005,CA
8,0,,6,0.1920659327,582729,3034005,29114,CO
8,1,,6,0.198698378,60787,305926,3040,CO
9,0,,6,0.141335177,291313,2061150,19978,CT
9,1,,6,0.1711229947,31424,183634,1922,CT
10,0,,6,0.0864013162,43797,506902,4569,DE
10,1,,6,0.0897207752,5546,61814,593,DE
11,0,,6,0.1075459247,44816,416715,4114,DC
11,1,,6,0.0512660907,2059,40163,419,DC
12,0,,6,0.2573804589,2704951,10509543,97771,FL
12,1,,6,0.1816121995,217777,1199132,12127,FL
13,0,,6,0.0917920288,507193,5525458,50891,GA
13,1,,6,0.0447179396,30194,675210,6830,GA
15,0,,6,0.0877878297,70634,804599,7939,HI
15,1,,6,0.1248838591,8199,65653,659,HI
