Dis1,Industry21,Educ,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est
0,,Less than High School,5,98743,11732325,136414654,1309165,0.086004873
0,,High School,5,317406,33806415,136414654,1309165,0.247820993
0,,Some College,5,428265,44872557,136414654,1309165,0.328942351
0,,Bachelors Degree or more,5,464751,46003357,136414654,1309165,0.337231783
0,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",Less than High School,7,5885,644711,2633715,28739,0.244791483
0,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",High School,7,9959,878127,2633715,28739,0.333417625
0,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",Some College,7,7621,649048,2633715,28739,0.246438206
0,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",Bachelors Degree or more,7,5274,461829,2633715,28739,0.175352686
0,Utilities,Less than High School,7,408,41956,1176615,12385,0.035658223
0,Utilities,High School,7,3526,332607,1176615,12385,0.282681251
0,Utilities,Some College,7,4788,449216,1176615,12385,0.381786736
0,Utilities,Bachelors Degree or more,7,3663,352836,1176615,12385,0.299873791
0,Construction,Less than High School,7,13189,1696332,8398766,75700,0.201973957
0,Construction,High School,7,29485,3259540,8398766,75700,0.38809749
0,Construction,Some College,7,22992,2427577,8398766,75700,0.289039723
0,Construction,Bachelors Degree or more,7,10034,1015317,8398766,75700,0.120888831
0,Manufacturing,Less than High School,7,14205,1623071,14382164,141684,0.112853045
0,Manufacturing,High School,7,46140,4638321,14382164,141684,0.322505083
0,Manufacturing,Some College,7,42357,4245521,14382164,141684,0.295193477
0,Manufacturing,Bachelors Degree or more,7,38982,3875251,14382164,141684,0.269448395
0,Wholesale Trade,Less than High School,7,3183,354534,3722122,36026,0.095250505
0,Wholesale Trade,High School,7,10139,1059640,3722122,36026,0.284687068
0,Wholesale Trade,Some College,7,11710,1196109,3722122,36026,0.321351369
0,Wholesale Trade,Bachelors Degree or more,7,10994,1111839,3722122,36026,0.298711058
0,Retail Trade,Less than High School,7,11814,1350978,15499077,141437,0.087165062
0,Retail Trade,High School,7,46041,5019571,15499077,141437,0.323862576
0,Retail Trade,Some College,7,54826,6094385,15499077,141437,0.393209544
0,Retail Trade,Bachelors Degree or more,7,28756,3034143,15499077,141437,0.195762819
0,"Transportation, Warehousing & Storage",Less than High School,7,4843,537054,5454818,51397,0.098454981
0,"Transportation, Warehousing & Storage",High School,7,19090,2035641,5454818,51397,0.373182203
0,"Transportation, Warehousing & Storage",Some College,7,18707,1977942,5454818,51397,0.362604582
0,"Transportation, Warehousing & Storage",Bachelors Degree or more,7,8757,904181,5454818,51397,0.165758234
0,Information,Less than High School,7,589,62290,2904819,28088,0.021443677
0,Information,High School,7,4324,456327,2904819,28088,0.157093093
0,Information,Some College,7,9276,980766,2904819,28088,0.337634118
0,Information,Bachelors Degree or more,7,13899,1405436,2904819,28088,0.483829113
0,"Finance, Insurance",Less than High School,7,714,73381,6571735,63838,0.011166153
0,"Finance, Insurance",High School,7,9861,1002743,6571735,63838,0.152584211
0,"Finance, Insurance",Some College,7,20586,2153475,6571735,63838,0.327687437
0,"Finance, Insurance",Bachelors Degree or more,7,32677,3342136,6571735,63838,0.508562199
0,"Real Estate, Rental & Leasing",Less than High School,7,1367,165658,2504962,23564,0.066131941
0,"Real Estate, Rental & Leasing",High School,7,5115,567424,2504962,23564,0.226520003
0,"Real Estate, Rental & Leasing",Some College,7,8322,888919,2504962,23564,0.354863267
0,"Real Estate, Rental & Leasing",Bachelors Degree or more,7,8760,882961,2504962,23564,0.352484788
0,"Professional, Scientific, Management",Less than High School,7,1093,118970,9367559,93154,0.012700214
0,"Professional, Scientific, Management",High School,7,7654,801738,9367559,93154,0.085586651
0,"Professional, Scientific, Management",Some College,7,21395,2191075,9367559,93154,0.233900315
0,"Professional, Scientific, Management",Bachelors Degree or more,7,63012,6255776,9367559,93154,0.667812821
0,Administrative & Waste Management Services,Less than High School,7,7912,1043534,5760394,49747,0.181156706
0,Administrative & Waste Management Services,High School,7,15058,1792438,5760394,49747,0.311165868
0,Administrative & Waste Management Services,Some College,7,16409,1852934,5760394,49747,0.321667928
0,Administrative & Waste Management Services,Bachelors Degree or more,7,10368,1071488,5760394,49747,0.186009499
0,Educational Services,Less than High School,7,2654,278537,12771052,136726,0.021810028
0,Educational Services,High School,7,14837,1383962,12771052,136726,0.10836711
0,Educational Services,Some College,7,28927,2672081,12771052,136726,0.209229514
0,Educational Services,Bachelors Degree or more,7,90308,8436472,12771052,136726,0.660593348
0,Health Care,Less than High School,7,5553,608235,15614524,151787,0.038953157
0,Health Care,High School,7,25281,2701256,15614524,151787,0.172996372
0,Health Care,Some College,7,59596,6189607,15614524,151787,0.39640062
0,Health Care,Bachelors Degree or more,7,61357,6115426,15614524,151787,0.391649851
0,Social Assistance Services,Less than High School,7,2010,225629,3043984,29346,0.074122926
0,Social Assistance Services,High School,7,6275,647361,3043984,29346,0.212668989
0,Social Assistance Services,Some College,7,10179,1068236,3043984,29346,0.350933513
0,Social Assistance Services,Bachelors Degree or more,7,10882,1102758,3043984,29346,0.362274572
0,"Arts, Entertainment, Recreation",Less than High School,7,1811,204721,2839959,27076,0.0720859
0,"Arts, Entertainment, Recreation",High School,7,6123,656109,2839959,27076,0.231027631
0,"Arts, Entertainment, Recreation",Some College,7,9817,1037523,2839959,27076,0.365330274
0,"Arts, Entertainment, Recreation",Bachelors Degree or more,7,9325,941606,2839959,27076,0.331556195
0,Accommodation and Food Services,Less than High School,7,13063,1732218,9747431,79570,0.177710209
0,Accommodation and Food Services,High School,7,25304,3133700,9747431,79570,0.321489837
0,Accommodation and Food Services,Some College,7,30720,3694877,9747431,79570,0.379061622
0,Accommodation and Food Services,Bachelors Degree or more,7,10483,1186636,9747431,79570,0.121738333
0,Other Services (except Public Administration),Less than High School,7,7178,845523,6649516,63109,0.12715557
0,Other Services (except Public Administration),High School,7,19215,2107238,6649516,63109,0.316900959
0,Other Services (except Public Administration),Some College,7,20745,2188523,6649516,63109,0.329125157
0,Other Services (except Public Administration),Bachelors Degree or more,7,15971,1508232,6649516,63109,0.226818313
0,Public Administration,Less than High School,7,1205,118714,6426764,65671,0.018471816
0,Public Administration,High School,7,11136,1075672,6426764,65671,0.167373814
0,Public Administration,Some College,7,24704,2476363,6426764,65671,0.385320357
0,Public Administration,Bachelors Degree or more,7,28626,2756015,6426764,65671,0.428834014
0,Active Duty Military,Less than High School,7,67,6279,944678,10121,0.006646709
0,Active Duty Military,High School,7,2843,257000,944678,10121,0.272050371
0,Active Duty Military,Some College,7,4588,438380,944678,10121,0.464052301
0,Active Duty Military,Bachelors Degree or more,7,2623,243019,944678,10121,0.257250619
1,,Less than High School,5,11193,1114591,8212333,86238,0.135721603
1,,High School,5,26627,2515598,8212333,86238,0.306319532
1,,Some College,5,29343,2829411,8212333,86238,0.344531938
1,,Bachelors Degree or more,5,19075,1752733,8212333,86238,0.213426928
1,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",Less than High School,7,577,54964,195126,2378,0.281684655
1,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",High School,7,908,69816,195126,2378,0.357799576
1,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",Some College,7,612,48440,195126,2378,0.248249849
1,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",Bachelors Degree or more,7,281,21906,195126,2378,0.112265921
1,Utilities,Less than High School,7,38,2728,65499,745,0.041649491
1,Utilities,High School,7,272,23607,65499,745,0.360417716
1,Utilities,Some College,7,303,26637,65499,745,0.406677965
1,Utilities,Bachelors Degree or more,7,132,12527,65499,745,0.191254828
1,Construction,Less than High School,7,993,107965,491674,4976,0.219586555
 ,Construction,High School,7,1983,188605,491674,4976,0.383597668
1,Construction,Some College,7,1556,153825,491674,4976,0.31285974
1,Construction,Bachelors Degree or more,7,444,41279,491674,4976,0.083956036
1,Manufacturing,Less than High School,7,1540,143848,857313,9393,0.167789361
1,Manufacturing,High School,7,3601,325414,857313,9393,0.379574321
1,Manufacturing,Some College,7,2916,265748,857313,9393,0.309977803
1,Manufacturing,Bachelors Degree or more,7,1336,122303,857313,9393,0.142658516
1,Wholesale Trade,Less than High School,7,280,26673,192807,2107,0.138340413
1,Wholesale Trade,High School,7,700,65239,192807,2107,0.338364271
1,Wholesale Trade,Some College,7,740,66678,192807,2107,0.345827693
1,Wholesale Trade,Bachelors Degree or more,7,387,34217,192807,2107,0.177467623
1,Retail Trade,Less than High School,7,1403,142415,1049201,10660,0.135736622
1,Retail Trade,High School,7,4033,390407,1049201,10660,0.37209934
1,Retail Trade,Some College,7,3859,387443,1049201,10660,0.369274334
1,Retail Trade,Bachelors Degree or more,7,1365,128936,1049201,10660,0.122889704
1,"Transportation, Warehousing & Storage",Less than High School,7,505,49826,360644,3781,0.138158406
1,"Transportation, Warehousing & Storage",High School,7,1471,135705,360644,3781,0.376285201
1,"Transportation, Warehousing & Storage",Some College,7,1419,137700,360644,3781,0.381816972
1,"Transportation, Warehousing & Storage",Bachelors Degree or more,7,386,37413,360644,3781,0.103739422
1,Information,Less than High School,7,77,7154,147459,1516,0.048515181
1,Information,High School,7,372,35805,147459,1516,0.242813257
1,Information,Some College,7,592,58765,147459,1516,0.398517554
