Dis1,Industry21,MajorOcc,Sector7,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample
1,,Computer & Mathematical Occupations,,10,1478,0.057158983,8102,141745,1478
1,,Architecture & Engineering Occupations,,10,1116,0.074016878,7429,100369,1116
1,,"Life, Physical, & Social Science Occupations",,10,530,0.077649813,3715,47843,530
1,,Community & Social Services Occupations,,10,1694,0.104918856,15878,151336,1694
1,,Legal Occupations,,10,805,0.066960919,4794,71594,805
1,,"Education, Training, & Library Occupations",,10,4300,0.08770566,33733,384616,4300
1,,"Arts, Design, Entertainment, Sports, & Media Occupations",,10,1367,0.087192394,11363,130321,1367
1,,Healthcare Practitioners & Technical Occupations,,10,3554,0.060138413,20221,336241,3554
1,,Healthcare Support Occupations,,10,2345,0.132291627,31444,237687,2345
1,,Protective Service Occupations,,10,1944,0.101271982,18941,187031,1944
1,,Food Preparation & Serving Related Occupations,,10,4392,0.182243166,87324,479162,4392
1,,Building & Grounds Cleaning & Maintenance Occupations,,10,5282,0.24045461,123705,514463,5282
1,,Personal Care & Service Occupations,,10,3761,0.152505684,57419,376504,3761
1,,Sales & Related Occupations,,10,8580,0.103462656,86089,832078,8580
1,,Office & Administrative Support Occupations,,10,12252,0.106362886,124007,1165886,12252
1,,"Farming, Fishing, & Forestry Occupations",,10,732,0.353936508,22298,63000,732
1,,Construction & Extraction Occupations,,10,4150,0.192641052,80036,415467,4150
1,,"Installation, Maintenance, & Repair Occupations",,10,3272,0.131710954,41696,316572,3272
1,,Production Occupations,,10,6938,0.140423639,87760,624966,6938
1,,Transportation & Material Moving Occupations,,10,7026,0.136433022,90360,662303,7026
1,,Military Specific Occupations,,10,247,0.195121951,4752,24354,247
0,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,12,28739,0.282447038,743885,2633715,28739
0,Utilities,,,12,12385,0.101475844,119398,1176615,12385
0,Construction         ,,,12,75700,0.266911949,2241731,8398766,75700
0,Manufacturing,,,12,141684,0.158265196,2276196,14382164,141684
0,Wholesale Trade,,,12,36026,0.180570653,672106,3722122,36026
0,Retail Trade,,,12,141437,0.16061279,2489350,15499077,141437
0,"Transportation, Warehousing & Storage",,,12,51397,0.168738902,920440,5454818,51397
0,Information,,,12,28088,0.107971615,313638,2904819,28088
0,"Finance, Insurance",,,12,63838,0.105170705,691154,6571735,63838
0,"Real Estate, Rental & Leasing",,,12,23564,0.149636202,374833,2504962,23564
0,"Professional, Scientific, Management",,,12,93154,0.081946748,767641,9367559,93154
0,Administrative & Waste Management Services,,,12,49747,0.277061604,1595984,5760394,49747
0,Educational Services,,,12,136726,0.104869513,1339294,12771052,136726
0,Health Care,,,12,151787,0.111986699,1748619,15614524,151787
0,Social Assistance Services,,,12,29346,0.165915787,505045,3043984,29346
0,"Arts, Entertainment, Recreation",,,12,27076,0.13905905,394922,2839959,27076
0,Accommodation and Food Services,,,12,79570,0.257684204,2511759,9747431,79570
0,Other Services (except Public Administration)       ,,,12,63109,0.19146792,1273169,6649516,63109
0,Public Administration,,,12,65671,0.110101911,707599,6426764,65671
0,Active Duty Military,,,12,10121,0.146504947,138400,944678,10121
1,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,12,2378,0.194515339,37955,195126,2378
1,Utilities,,,12,745,0.085222675,5582,65499,745
1,Construction         ,,,12,4976,0.160809805,79066,491674,4976
1,Manufacturing,,,12,9393,0.119370638,102338,857313,9393
1,Wholesale Trade,,,12,2107,0.146654426,28276,192807,2107
1,Retail Trade,,,12,10660,0.111617316,117109,1049201,10660
1,"Transportation, Warehousing & Storage",,,12,3781,0.123210146,44435,360644,3781
1,Information,,,12,1516,0.084003011,12387,147459,1516
1,"Finance, Insurance",,,12,2819,0.086550999,22967,265358,2819
1,"Real Estate, Rental & Leasing",,,12,1769,0.136040335,24176,177712,1769
1,"Professional, Scientific, Management",,,12,4326,0.074452547,29770,399852,4326
1,Administrative & Waste Management Services,,,12,4279,0.189677558,83273,439024,4279
1,Educational Services,,,12,7183,0.095041097,61064,642501,7183
1,Health Care,,,12,9486,0.100016616,92695,926796,9486
1,Social Assistance Services,,,12,3686,0.131579353,42650,324139,3686
1,"Arts, Entertainment, Recreation",,,12,1770,0.111129012,19314,173798,1770
1,Accommodation and Food Services,,,12,5176,0.191795449,108669,566588,5176
1,Other Services (except Public Administration)       ,,,12,5033,0.155793126,74540,478455,5033
1,Public Administration,,,12,4719,0.101163326,42228,417424,4719
1,Active Duty Military,,,12,436,0.161780143,6627,40963,436
