Dis1,Industry21,MajorOcc,Sector7,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample
0,,Production Occupations,,10,76484,0.7176107731,5796651,8077709,76484
0,,Transportation & Material Moving Occupations,,10,76108,0.8401782489,6914157,8229393,76108
0,,Military Specific Occupations,,10,5362,0.8738099898,446447,510920,5362
1,,Management Occupations,,10,7299,0.6422813797,420316,654411,7299
1,,Business & Financial Operations Occupations,,10,3174,0.4942252296,145492,294384,3174
1,,Computer & Mathematical Occupations,,10,1478,0.7464884123,105811,141745,1478
1,,Architecture & Engineering Occupations,,10,1116,0.8568382668,86000,100369,1116
1,,"Life, Physical, & Social Science Occupations",,10,530,0.5508015802,26352,47843,530
1,,Community & Social Services Occupations,,10,1694,0.4472432204,67684,151336,1694
1,,Legal Occupations,,10,805,0.5567645333,39861,71594,805
1,,"Education, Training, & Library Occupations",,10,4300,0.3045973126,117153,384616,4300
1,,"Arts, Design, Entertainment, Sports, & Media Occupations",,10,1367,0.546596481,71233,130321,1367
1,,Healthcare Practitioners & Technical Occupations,,10,3554,0.2676948974,90010,336241,3554
1,,Healthcare Support Occupations,,10,2345,0.1437815278,34175,237687,2345
1,,Protective Service Occupations,,10,1944,0.7772080564,145362,187031,1944
1,,Food Preparation & Serving Related Occupations,,10,4392,0.4406401175,211138,479162,4392
1,,Building & Grounds Cleaning & Maintenance Occupations,,10,5282,0.6083663937,312982,514463,5282
1,,Personal Care & Service Occupations,,10,3761,0.2354264497,88639,376504,3761
1,,Sales & Related Occupations,,10,8580,0.4885058853,406475,832078,8580
1,,Office & Administrative Support Occupations,,10,12252,0.2945922672,343461,1165886,12252
1,,"Farming, Fishing, & Forestry Occupations",,10,732,0.8245555556,51947,63000,732
1,,Construction & Extraction Occupations,,10,4150,0.9647168126,400808,415467,4150
1,,"Installation, Maintenance, & Repair Occupations",,10,3272,0.9595005244,303751,316572,3272
1,,Production Occupations,,10,6938,0.6949066029,434293,624966,6938
1,,Transportation & Material Moving Occupations,,10,7026,0.823345206,545304,662303,7026
1,,Military Specific Occupations,,10,247,0.9062576989,22071,24354,247
0,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,12,28739,0.8186341347,2156049,2633715,28739
0,Utilities,,,12,12385,0.782427557,920616,1176615,12385
0,Construction         ,,,12,75700,0.9075477278,7622281,8398766,75700
0,Manufacturing,,,12,141684,0.7092046788,10199898,14382164,141684
0,Wholesale Trade,,,12,36026,0.7027574593,2615749,3722122,36026
0,Retail Trade,,,12,141437,0.5061210419,7844409,15499077,141437
0,"Transportation, Warehousing & Storage",,,12,51397,0.7592055317,4141328,5454818,51397
0,Information,,,12,28088,0.5837930005,1695813,2904819,28088
0,"Finance, Insurance",,,12,63838,0.4191005876,2754218,6571735,63838
0,"Real Estate, Rental & Leasing",,,12,23564,0.5342592023,1338299,2504962,23564
0,"Professional, Scientific, Management",,,12,93154,0.5609380202,5254620,9367559,93154
0,Administrative & Waste Management Services,,,12,49747,0.6170520628,3554463,5760394,49747
0,Educational Services,,,12,136726,0.3158843923,4034176,12771052,136726
0,Health Care,,,12,151787,0.2252606612,3517338,15614524,151787
0,Social Assistance Services,,,12,29346,0.1502599882,457389,3043984,29346
0,"Arts, Entertainment, Recreation",,,12,27076,0.5386362972,1529705,2839959,27076
0,Accommodation and Food Services,,,12,79570,0.4767236619,4646831,9747431,79570
0,Other Services (except Public Administration)       ,,,12,63109,0.4672207722,3106792,6649516,63109
0,Public Administration,,,12,65671,0.5569065551,3579107,6426764,65671
0,Active Duty Military,,,12,10121,0.8660824111,818169,944678,10121
1,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,12,2378,0.8357266587,163072,195126,2378
1,Utilities,,,12,745,0.7934624956,51971,65499,745
1,Construction         ,,,12,4976,0.9110894617,447959,491674,4976
1,Manufacturing,,,12,9393,0.7270716763,623328,857313,9393
1,Wholesale Trade,,,12,2107,0.7289724958,140551,192807,2107
1,Retail Trade,,,12,10660,0.5176491444,543118,1049201,10660
1,"Transportation, Warehousing & Storage",,,12,3781,0.7557147769,272544,360644,3781
1,Information,,,12,1516,0.542889888,80054,147459,1516
1,"Finance, Insurance",,,12,2819,0.4085461904,108411,265358,2819
1,"Real Estate, Rental & Leasing",,,12,1769,0.5729326101,101817,177712,1769
1,"Professional, Scientific, Management",,,12,4326,0.566427078,226487,399852,4326
1,Administrative & Waste Management Services,,,12,4279,0.6231504428,273578,439024,4279
1,Educational Services,,,12,7183,0.359028235,230676,642501,7183
1,Health Care,,,12,9486,0.2465310597,228484,926796,9486
1,Social Assistance Services,,,12,3686,0.2870805426,93054,324139,3686
1,"Arts, Entertainment, Recreation",,,12,1770,0.601123143,104474,173798,1770
1,Accommodation and Food Services,,,12,5176,0.4673113444,264773,566588,5176
1,Other Services (except Public Administration)       ,,,12,5033,0.5182159242,247943,478455,5033
1,Public Administration,,,12,4719,0.5529365825,230809,417424,4719
1,Active Duty Military,,,12,436,0.9085027952,37215,40963,436
